Order 0	number of articles 7	due date 186.063
7	Aisle 0	Location 22
8	Aisle 1	Location 31
9	Aisle 17	Location 8
10	Aisle 2	Location 8
11	Aisle 1	Location 8
Order 15	number of articles 22	due date 34.0625
0	Aisle 0	Location 9
1	Aisle 1	Location 20
2	Aisle 1	Location 26
3	Aisle 0	Location 4
4	Aisle 0	Location 14
5	Aisle 1	Location 44
6	Aisle 0	Location 29
7	Aisle 2	Location 18
8	Aisle 0	Location 8
9	Aisle 3	Location 16
10	Aisle 0	Location 31
11	Aisle 1	Location 11
12	Aisle 3	Location 25
13	Aisle 4	Location 27
14	Aisle 2	Location 10
15	Aisle 6	Location 23
16	Aisle 1	Location 38
17	Aisle 0	Location 2
18	Aisle 2	Location 17
19	Aisle 3	Location 8
20	Aisle 1	Location 34
21	Aisle 0	Location 7
Order 16	number of articles 9	due date 63.0625
0	Aisle 0	Location 33
1	Aisle 14	Location 25
2	Aisle 1	Location 32
3	Aisle 0	Location 10
4	Aisle 10	Location 30
5	Aisle 0	Location 28
6	Aisle 0	Location 41
7	Aisle 0	Location 3
8	Aisle 4	Location 32
Order 17	number of articles 19	due date 275.063
0	Aisle 1	Location 35
1	Aisle 4	Location 21
2	Aisle 0	Location 9
3	Aisle 3	Location 18
4	Aisle 7	Location 41
5	Aisle 5	Location 3
6	Aisle 1	Location 8
7	Aisle 4	Location 26
8	Aisle 0	Location 29
9	Aisle 8	Location 3
10	Aisle 10	Location 40
11	Aisle 4	Location 33
12	Aisle 1	Location 43
13	Aisle 0	Location 35
14	Aisle 0	Location 30
15	Aisle 1	Location 36
16	Aisle 1	Location 28
17	Aisle 2	Location 1
18	Aisle 0	Location 24
Order 18	number of articles 18	due date 182.063
0	Aisle 1	Location 33
1	Aisle 0	Location 4
2	Aisle 1	Location 12
3	Aisle 4	Location 39
4	Aisle 1	Location 6
5	Aisle 4	Location 15
6	Aisle 3	Location 23
7	Aisle 10	Location 0
8	Aisle 3	Location 10
9	Aisle 15	Location 24
10	Aisle 1	Location 30
11	Aisle 0	Location 8
12	Aisle 1	Location 3
13	Aisle 14	Location 33
14	Aisle 2	Location 20
15	Aisle 1	Location 13
16	Aisle 5	Location 22
17	Aisle 2	Location 14
Order 19	number of articles 20	due date 206.063
0	Aisle 5	Location 10
1	Aisle 0	Location 0
2	Aisle 2	Location 31
3	Aisle 1	Location 17
4	Aisle 3	Location 43
5	Aisle 1	Location 32
6	Aisle 2	Location 24
7	Aisle 12	Location 2
8	Aisle 1	Location 26
9	Aisle 0	Location 43
10	Aisle 1	Location 0
11	Aisle 5	Location 9
12	Aisle 1	Location 14
13	Aisle 1	Location 18
14	Aisle 1	Location 13
15	Aisle 0	Location 20
16	Aisle 5	Location 39
17	Aisle 4	Location 4
18	Aisle 1	Location 33
19	Aisle 1	Location 1
Order 20	number of articles 24	due date 172.063
0	Aisle 1	Location 42
1	Aisle 1	Location 36
2	Aisle 14	Location 35
3	Aisle 4	Location 35
4	Aisle 0	Location 17
5	Aisle 1	Location 30
6	Aisle 3	Location 5
7	Aisle 0	Location 6
8	Aisle 4	Location 18
9	Aisle 1	Location 5
10	Aisle 2	Location 41
11	Aisle 5	Location 31
12	Aisle 5	Location 42
13	Aisle 5	Location 17
14	Aisle 0	Location 23
15	Aisle 0	Location 33
16	Aisle 4	Location 9
17	Aisle 14	Location 5
18	Aisle 17	Location 29
19	Aisle 1	Location 22
20	Aisle 11	Location 27
21	Aisle 1	Location 1
22	Aisle 4	Location 30
23	Aisle 1	Location 24
Order 21	number of articles 13	due date 24.0625
0	Aisle 1	Location 7
1	Aisle 15	Location 41
2	Aisle 5	Location 3
3	Aisle 5	Location 25
4	Aisle 7	Location 0
5	Aisle 0	Location 40
6	Aisle 0	Location 9
7	Aisle 1	Location 6
8	Aisle 1	Location 8
9	Aisle 1	Location 17
10	Aisle 4	Location 41
11	Aisle 4	Location 44
12	Aisle 1	Location 35
Order 22	number of articles 9	due date 302.063
0	Aisle 0	Location 21
1	Aisle 5	Location 23
2	Aisle 3	Location 24
3	Aisle 1	Location 9
4	Aisle 1	Location 37
5	Aisle 2	Location 13
6	Aisle 0	Location 5
7	Aisle 1	Location 14
8	Aisle 1	Location 24
Order 23	number of articles 17	due date 293.063
0	Aisle 0	Location 41
1	Aisle 0	Location 28
2	Aisle 0	Location 17
3	Aisle 9	Location 8
4	Aisle 4	Location 43
5	Aisle 0	Location 34
6	Aisle 12	Location 9
7	Aisle 1	Location 11
8	Aisle 2	Location 42
9	Aisle 1	Location 35
10	Aisle 0	Location 37
11	Aisle 5	Location 1
12	Aisle 2	Location 43
13	Aisle 0	Location 15
14	Aisle 13	Location 17
15	Aisle 2	Location 1
16	Aisle 1	Location 18
Order 24	number of articles 15	due date 262.063
0	Aisle 1	Location 14
1	Aisle 4	Location 44
2	Aisle 4	Location 7
3	Aisle 1	Location 7
4	Aisle 0	Location 18
5	Aisle 1	Location 8
6	Aisle 10	Location 25
7	Aisle 2	Location 24
8	Aisle 11	Location 3
9	Aisle 0	Location 14
10	Aisle 4	Location 25
11	Aisle 0	Location 7
12	Aisle 5	Location 17
13	Aisle 1	Location 2
14	Aisle 1	Location 27
Order 25	number of articles 17	due date 110.063
0	Aisle 1	Location 24
1	Aisle 0	Location 4
2	Aisle 4	Location 23
3	Aisle 13	Location 39
4	Aisle 1	Location 8
5	Aisle 5	Location 38
6	Aisle 2	Location 26
7	Aisle 9	Location 37
8	Aisle 5	Location 15
9	Aisle 5	Location 24
10	Aisle 2	Location 10
11	Aisle 0	Location 17
12	Aisle 3	Location 11
13	Aisle 1	Location 3
14	Aisle 1	Location 5
15	Aisle 4	Location 7
16	Aisle 4	Location 41
Order 26	number of articles 19	due date 116.063
0	Aisle 0	Location 10
1	Aisle 0	Location 14
2	Aisle 0	Location 8
3	Aisle 2	Location 12
4	Aisle 0	Location 21
5	Aisle 0	Location 32
6	Aisle 2	Location 19
7	Aisle 12	Location 18
8	Aisle 4	Location 0
9	Aisle 2	Location 31
10	Aisle 3	Location 0
11	Aisle 1	Location 23
12	Aisle 2	Location 22
13	Aisle 1	Location 1
14	Aisle 1	Location 9
15	Aisle 4	Location 17
16	Aisle 1	Location 10
17	Aisle 2	Location 42
18	Aisle 0	Location 0
Order 27	number of articles 13	due date 66.0625
0	Aisle 5	Location 16
1	Aisle 4	Location 39
2	Aisle 0	Location 38
3	Aisle 5	Location 7
4	Aisle 5	Location 19
5	Aisle 5	Location 38
6	Aisle 3	Location 25
7	Aisle 1	Location 19
8	Aisle 3	Location 31
9	Aisle 4	Location 10
10	Aisle 1	Location 41
11	Aisle 1	Location 36
12	Aisle 0	Location 0
Order 28	number of articles 21	due date 147.063
0	Aisle 4	Location 31
1	Aisle 0	Location 44
2	Aisle 6	Location 6
3	Aisle 1	Location 25
4	Aisle 1	Location 30
5	Aisle 3	Location 21
6	Aisle 3	Location 12
7	Aisle 4	Location 4
8	Aisle 0	Location 25
9	Aisle 0	Location 22
10	Aisle 1	Location 6
11	Aisle 11	Location 28
12	Aisle 2	Location 24
13	Aisle 3	Location 26
14	Aisle 7	Location 14
15	Aisle 4	Location 11
16	Aisle 3	Location 16
17	Aisle 15	Location 14
18	Aisle 14	Location 11
19	Aisle 4	Location 25
20	Aisle 6	Location 11
Order 29	number of articles 9	due date 300.063
0	Aisle 3	Location 31
1	Aisle 0	Location 15
2	Aisle 2	Location 27
3	Aisle 0	Location 44
4	Aisle 5	Location 32
5	Aisle 5	Location 38
6	Aisle 1	Location 22
7	Aisle 12	Location 25
8	Aisle 3	Location 19
Order 30	number of articles 19	due date 257.063
0	Aisle 1	Location 12
1	Aisle 1	Location 39
2	Aisle 1	Location 43
3	Aisle 15	Location 30
4	Aisle 4	Location 26
5	Aisle 0	Location 34
6	Aisle 0	Location 22
7	Aisle 5	Location 19
8	Aisle 5	Location 39
9	Aisle 3	Location 9
10	Aisle 2	Location 20
11	Aisle 0	Location 15
12	Aisle 0	Location 38
13	Aisle 0	Location 4
14	Aisle 5	Location 15
15	Aisle 5	Location 32
16	Aisle 0	Location 6
17	Aisle 0	Location 18
18	Aisle 11	Location 44
Order 31	number of articles 14	due date 67.0625
0	Aisle 0	Location 27
1	Aisle 4	Location 37
2	Aisle 1	Location 19
3	Aisle 12	Location 26
4	Aisle 2	Location 25
5	Aisle 5	Location 5
6	Aisle 1	Location 41
7	Aisle 0	Location 25
8	Aisle 4	Location 20
9	Aisle 3	Location 20
10	Aisle 2	Location 9
11	Aisle 0	Location 38
12	Aisle 5	Location 42
13	Aisle 3	Location 6
Order 32	number of articles 13	due date 97.0625
0	Aisle 1	Location 24
1	Aisle 1	Location 38
2	Aisle 1	Location 29
3	Aisle 1	Location 43
4	Aisle 1	Location 39
5	Aisle 4	Location 15
6	Aisle 10	Location 27
7	Aisle 16	Location 19
8	Aisle 1	Location 33
9	Aisle 2	Location 29
10	Aisle 1	Location 0
11	Aisle 0	Location 43
12	Aisle 3	Location 21
Order 33	number of articles 17	due date 265.063
0	Aisle 3	Location 41
1	Aisle 1	Location 5
2	Aisle 0	Location 18
3	Aisle 19	Location 32
4	Aisle 2	Location 5
5	Aisle 2	Location 11
6	Aisle 4	Location 6
7	Aisle 4	Location 14
8	Aisle 19	Location 13
9	Aisle 11	Location 33
10	Aisle 3	Location 13
11	Aisle 15	Location 39
12	Aisle 1	Location 29
13	Aisle 3	Location 15
14	Aisle 4	Location 22
15	Aisle 0	Location 4
16	Aisle 3	Location 7
Order 34	number of articles 23	due date 192.063
0	Aisle 0	Location 4
1	Aisle 1	Location 17
2	Aisle 0	Location 34
3	Aisle 1	Location 9
4	Aisle 1	Location 32
5	Aisle 1	Location 7
6	Aisle 5	Location 15
7	Aisle 1	Location 2
8	Aisle 0	Location 3
9	Aisle 4	Location 20
10	Aisle 0	Location 14
11	Aisle 0	Location 9
12	Aisle 16	Location 25
13	Aisle 5	Location 22
14	Aisle 4	Location 2
15	Aisle 1	Location 6
16	Aisle 0	Location 42
17	Aisle 3	Location 24
18	Aisle 0	Location 1
19	Aisle 5	Location 3
20	Aisle 12	Location 5
21	Aisle 0	Location 36
22	Aisle 1	Location 4
Order 35	number of articles 21	due date 182.063
0	Aisle 18	Location 17
1	Aisle 2	Location 27
2	Aisle 0	Location 38
3	Aisle 1	Location 5
4	Aisle 4	Location 17
5	Aisle 1	Location 37
6	Aisle 9	Location 5
7	Aisle 8	Location 25
8	Aisle 3	Location 34
9	Aisle 0	Location 41
10	Aisle 1	Location 17
11	Aisle 2	Location 26
12	Aisle 1	Location 14
13	Aisle 4	Location 29
14	Aisle 1	Location 43
15	Aisle 19	Location 28
16	Aisle 4	Location 9
17	Aisle 5	Location 13
18	Aisle 3	Location 19
19	Aisle 5	Location 34
20	Aisle 3	Location 25
Order 36	number of articles 5	due date 183.063
0	Aisle 0	Location 33
1	Aisle 17	Location 24
2	Aisle 1	Location 11
3	Aisle 1	Location 9
4	Aisle 2	Location 9
Order 37	number of articles 11	due date 110.063
0	Aisle 5	Location 26
1	Aisle 1	Location 34
2	Aisle 0	Location 38
3	Aisle 2	Location 20
4	Aisle 1	Location 10
5	Aisle 1	Location 37
6	Aisle 4	Location 11
7	Aisle 4	Location 33
8	Aisle 1	Location 28
9	Aisle 2	Location 26
10	Aisle 5	Location 25
Order 38	number of articles 22	due date 306.063
0	Aisle 10	Location 5
1	Aisle 2	Location 26
2	Aisle 0	Location 32
3	Aisle 4	Location 42
4	Aisle 2	Location 18
5	Aisle 3	Location 10
6	Aisle 0	Location 6
7	Aisle 1	Location 7
8	Aisle 16	Location 29
9	Aisle 3	Location 27
10	Aisle 0	Location 26
11	Aisle 1	Location 39
12	Aisle 19	Location 10
13	Aisle 2	Location 7
14	Aisle 4	Location 22
15	Aisle 3	Location 39
16	Aisle 0	Location 36
17	Aisle 3	Location 12
18	Aisle 5	Location 8
19	Aisle 5	Location 9
20	Aisle 5	Location 37
21	Aisle 10	Location 43
Order 39	number of articles 19	due date 148.063
0	Aisle 1	Location 18
1	Aisle 4	Location 36
2	Aisle 2	Location 21
3	Aisle 3	Location 5
4	Aisle 5	Location 29
5	Aisle 3	Location 23
6	Aisle 1	Location 29
7	Aisle 0	Location 19
8	Aisle 3	Location 32
9	Aisle 0	Location 34
10	Aisle 0	Location 35
11	Aisle 1	Location 24
12	Aisle 1	Location 0
13	Aisle 1	Location 11
14	Aisle 1	Location 12
15	Aisle 2	Location 0
16	Aisle 11	Location 1
17	Aisle 7	Location 37
18	Aisle 0	Location 5
