Order 0	number of articles 19	due date 15.7292
3	Aisle 9	Location 0
4	Aisle 5	Location 11
5	Aisle 10	Location 18
6	Aisle 0	Location 3
7	Aisle 14	Location 8
8	Aisle 7	Location 12
9	Aisle 0	Location 11
10	Aisle 0	Location 23
Order 13	number of articles 10	due date 19.7292
0	Aisle 8	Location 5
1	Aisle 11	Location 43
2	Aisle 0	Location 5
3	Aisle 3	Location 22
4	Aisle 5	Location 41
5	Aisle 2	Location 3
6	Aisle 4	Location 38
7	Aisle 19	Location 3
8	Aisle 3	Location 32
9	Aisle 1	Location 21
Order 14	number of articles 12	due date 80.7292
0	Aisle 0	Location 7
1	Aisle 1	Location 24
2	Aisle 3	Location 0
3	Aisle 1	Location 20
4	Aisle 1	Location 14
5	Aisle 12	Location 34
6	Aisle 3	Location 32
7	Aisle 0	Location 33
8	Aisle 2	Location 10
9	Aisle 0	Location 36
10	Aisle 3	Location 23
11	Aisle 3	Location 3
Order 15	number of articles 21	due date 112.729
0	Aisle 0	Location 30
1	Aisle 1	Location 21
2	Aisle 4	Location 21
3	Aisle 2	Location 33
4	Aisle 0	Location 36
5	Aisle 1	Location 24
6	Aisle 0	Location 43
7	Aisle 5	Location 43
8	Aisle 0	Location 41
9	Aisle 2	Location 37
10	Aisle 3	Location 37
11	Aisle 5	Location 9
12	Aisle 6	Location 19
13	Aisle 2	Location 24
14	Aisle 1	Location 23
15	Aisle 0	Location 33
16	Aisle 4	Location 37
17	Aisle 0	Location 8
18	Aisle 3	Location 15
19	Aisle 2	Location 43
20	Aisle 0	Location 24
Order 16	number of articles 22	due date 25.7292
0	Aisle 5	Location 22
1	Aisle 1	Location 9
2	Aisle 0	Location 19
3	Aisle 0	Location 32
4	Aisle 4	Location 34
5	Aisle 4	Location 2
6	Aisle 13	Location 17
7	Aisle 0	Location 43
8	Aisle 2	Location 15
9	Aisle 1	Location 16
10	Aisle 1	Location 8
11	Aisle 6	Location 7
12	Aisle 0	Location 37
13	Aisle 0	Location 28
14	Aisle 1	Location 31
15	Aisle 1	Location 18
16	Aisle 1	Location 21
17	Aisle 0	Location 18
18	Aisle 1	Location 26
19	Aisle 0	Location 33
20	Aisle 3	Location 35
21	Aisle 5	Location 2
Order 17	number of articles 21	due date 46.7292
0	Aisle 1	Location 7
1	Aisle 2	Location 26
2	Aisle 1	Location 12
3	Aisle 11	Location 4
4	Aisle 1	Location 6
5	Aisle 9	Location 9
6	Aisle 13	Location 3
7	Aisle 0	Location 4
8	Aisle 3	Location 34
9	Aisle 15	Location 43
10	Aisle 4	Location 39
11	Aisle 11	Location 27
12	Aisle 0	Location 27
13	Aisle 0	Location 18
14	Aisle 3	Location 5
15	Aisle 15	Location 25
16	Aisle 5	Location 29
17	Aisle 11	Location 37
18	Aisle 1	Location 8
19	Aisle 18	Location 2
20	Aisle 2	Location 39
Order 18	number of articles 12	due date 116.729
0	Aisle 1	Location 18
1	Aisle 5	Location 24
2	Aisle 0	Location 11
3	Aisle 0	Location 28
4	Aisle 1	Location 23
5	Aisle 0	Location 3
6	Aisle 3	Location 38
7	Aisle 5	Location 9
8	Aisle 0	Location 6
9	Aisle 1	Location 39
10	Aisle 1	Location 40
11	Aisle 1	Location 34
Order 19	number of articles 15	due date 35.7292
0	Aisle 0	Location 3
1	Aisle 0	Location 41
2	Aisle 3	Location 39
3	Aisle 3	Location 28
4	Aisle 1	Location 43
5	Aisle 4	Location 38
6	Aisle 0	Location 19
7	Aisle 0	Location 38
8	Aisle 0	Location 15
9	Aisle 3	Location 10
10	Aisle 1	Location 42
11	Aisle 5	Location 43
12	Aisle 1	Location 4
13	Aisle 4	Location 22
14	Aisle 14	Location 29
