Order 0	number of articles 20	due date 219.833
8	Aisle 0	Location 41
9	Aisle 1	Location 8
10	Aisle 3	Location 25
11	Aisle 1	Location 31
12	Aisle 0	Location 26
13	Aisle 3	Location 0
14	Aisle 11	Location 43
15	Aisle 0	Location 15
16	Aisle 2	Location 33
17	Aisle 9	Location 21
18	Aisle 5	Location 38
19	Aisle 1	Location 5
20	Aisle 1	Location 44
21	Aisle 1	Location 18
Order 8	number of articles 21	due date 227.833
0	Aisle 0	Location 2
1	Aisle 0	Location 33
2	Aisle 1	Location 10
3	Aisle 4	Location 38
4	Aisle 1	Location 6
5	Aisle 0	Location 44
6	Aisle 0	Location 10
7	Aisle 1	Location 17
8	Aisle 1	Location 7
9	Aisle 1	Location 3
10	Aisle 0	Location 29
11	Aisle 1	Location 0
12	Aisle 0	Location 36
13	Aisle 1	Location 39
14	Aisle 9	Location 17
15	Aisle 5	Location 31
16	Aisle 2	Location 6
17	Aisle 0	Location 1
18	Aisle 0	Location 8
19	Aisle 3	Location 35
20	Aisle 0	Location 3
Order 9	number of articles 13	due date 78.8333
0	Aisle 4	Location 26
1	Aisle 7	Location 15
2	Aisle 6	Location 29
3	Aisle 3	Location 13
4	Aisle 3	Location 5
5	Aisle 19	Location 21
6	Aisle 4	Location 6
7	Aisle 15	Location 29
8	Aisle 0	Location 27
9	Aisle 0	Location 17
10	Aisle 4	Location 21
11	Aisle 4	Location 40
12	Aisle 1	Location 39
Order 10	number of articles 17	due date 44.8333
0	Aisle 1	Location 41
1	Aisle 1	Location 3
2	Aisle 4	Location 14
3	Aisle 5	Location 37
4	Aisle 1	Location 10
5	Aisle 7	Location 39
6	Aisle 4	Location 24
7	Aisle 4	Location 31
8	Aisle 3	Location 23
9	Aisle 1	Location 44
10	Aisle 3	Location 20
11	Aisle 1	Location 27
12	Aisle 1	Location 11
13	Aisle 15	Location 17
14	Aisle 5	Location 25
15	Aisle 5	Location 31
16	Aisle 19	Location 36
Order 11	number of articles 9	due date 161.833
0	Aisle 3	Location 4
1	Aisle 0	Location 41
2	Aisle 1	Location 42
3	Aisle 1	Location 36
4	Aisle 5	Location 40
5	Aisle 2	Location 32
6	Aisle 3	Location 22
7	Aisle 5	Location 31
8	Aisle 0	Location 44
Order 12	number of articles 24	due date 139.833
0	Aisle 1	Location 23
1	Aisle 4	Location 37
2	Aisle 1	Location 13
3	Aisle 0	Location 12
4	Aisle 10	Location 8
5	Aisle 2	Location 26
6	Aisle 0	Location 11
7	Aisle 13	Location 31
8	Aisle 5	Location 16
9	Aisle 2	Location 2
10	Aisle 2	Location 10
11	Aisle 0	Location 38
12	Aisle 8	Location 31
13	Aisle 1	Location 37
14	Aisle 0	Location 2
15	Aisle 0	Location 43
16	Aisle 3	Location 38
17	Aisle 1	Location 20
18	Aisle 3	Location 17
19	Aisle 3	Location 15
20	Aisle 0	Location 9
21	Aisle 16	Location 44
22	Aisle 5	Location 38
23	Aisle 1	Location 42
Order 13	number of articles 5	due date 45.8333
0	Aisle 17	Location 25
1	Aisle 3	Location 28
2	Aisle 0	Location 9
3	Aisle 4	Location 25
4	Aisle 5	Location 22
Order 14	number of articles 19	due date 16.8333
0	Aisle 0	Location 14
1	Aisle 2	Location 0
2	Aisle 1	Location 10
3	Aisle 0	Location 7
4	Aisle 0	Location 10
5	Aisle 5	Location 34
6	Aisle 2	Location 28
7	Aisle 9	Location 27
8	Aisle 4	Location 33
9	Aisle 1	Location 40
10	Aisle 5	Location 9
11	Aisle 4	Location 28
12	Aisle 12	Location 32
13	Aisle 1	Location 43
14	Aisle 2	Location 42
15	Aisle 1	Location 41
16	Aisle 4	Location 23
17	Aisle 4	Location 22
18	Aisle 0	Location 12
Order 15	number of articles 18	due date 61.8333
0	Aisle 3	Location 10
1	Aisle 5	Location 9
2	Aisle 0	Location 11
3	Aisle 4	Location 20
4	Aisle 14	Location 0
5	Aisle 1	Location 38
6	Aisle 1	Location 16
7	Aisle 1	Location 10
8	Aisle 1	Location 7
9	Aisle 3	Location 24
10	Aisle 0	Location 35
11	Aisle 2	Location 44
12	Aisle 1	Location 31
13	Aisle 3	Location 32
14	Aisle 5	Location 15
15	Aisle 0	Location 0
16	Aisle 0	Location 38
17	Aisle 0	Location 44
Order 16	number of articles 22	due date 157.833
0	Aisle 1	Location 23
1	Aisle 8	Location 15
2	Aisle 1	Location 33
3	Aisle 0	Location 35
4	Aisle 9	Location 12
5	Aisle 1	Location 12
6	Aisle 0	Location 17
7	Aisle 3	Location 9
8	Aisle 14	Location 14
9	Aisle 1	Location 8
10	Aisle 0	Location 12
11	Aisle 1	Location 14
12	Aisle 1	Location 9
13	Aisle 1	Location 7
14	Aisle 0	Location 1
15	Aisle 14	Location 36
16	Aisle 0	Location 34
17	Aisle 4	Location 27
18	Aisle 7	Location 34
19	Aisle 15	Location 36
20	Aisle 0	Location 10
21	Aisle 0	Location 22
Order 17	number of articles 18	due date 43.8333
0	Aisle 2	Location 15
1	Aisle 1	Location 42
2	Aisle 0	Location 12
3	Aisle 0	Location 34
4	Aisle 2	Location 8
5	Aisle 2	Location 1
6	Aisle 5	Location 37
7	Aisle 0	Location 6
8	Aisle 0	Location 31
9	Aisle 3	Location 0
10	Aisle 5	Location 23
11	Aisle 0	Location 3
12	Aisle 0	Location 25
13	Aisle 0	Location 26
14	Aisle 4	Location 26
15	Aisle 15	Location 21
16	Aisle 17	Location 27
17	Aisle 10	Location 25
Order 18	number of articles 8	due date 145.833
0	Aisle 1	Location 33
1	Aisle 1	Location 8
2	Aisle 0	Location 32
3	Aisle 3	Location 8
4	Aisle 0	Location 24
5	Aisle 0	Location 16
6	Aisle 5	Location 35
7	Aisle 3	Location 16
Order 19	number of articles 20	due date 107.833
0	Aisle 4	Location 21
1	Aisle 0	Location 26
2	Aisle 0	Location 11
3	Aisle 0	Location 15
4	Aisle 0	Location 23
5	Aisle 4	Location 40
6	Aisle 2	Location 1
7	Aisle 3	Location 34
8	Aisle 0	Location 3
9	Aisle 0	Location 10
10	Aisle 3	Location 26
11	Aisle 10	Location 3
12	Aisle 1	Location 5
13	Aisle 5	Location 33
14	Aisle 4	Location 9
15	Aisle 4	Location 3
16	Aisle 2	Location 38
17	Aisle 14	Location 42
18	Aisle 0	Location 9
19	Aisle 19	Location 43
Order 20	number of articles 18	due date 153.833
0	Aisle 4	Location 25
1	Aisle 0	Location 43
2	Aisle 1	Location 44
3	Aisle 0	Location 44
4	Aisle 0	Location 4
5	Aisle 1	Location 3
6	Aisle 5	Location 1
7	Aisle 4	Location 37
8	Aisle 1	Location 34
9	Aisle 0	Location 37
10	Aisle 0	Location 28
11	Aisle 4	Location 22
12	Aisle 1	Location 2
13	Aisle 0	Location 35
14	Aisle 1	Location 10
15	Aisle 1	Location 16
16	Aisle 3	Location 23
17	Aisle 5	Location 8
Order 21	number of articles 18	due date 177.833
0	Aisle 4	Location 1
1	Aisle 19	Location 40
2	Aisle 0	Location 44
3	Aisle 0	Location 25
4	Aisle 1	Location 18
5	Aisle 0	Location 24
6	Aisle 0	Location 2
7	Aisle 0	Location 7
8	Aisle 1	Location 19
9	Aisle 1	Location 28
10	Aisle 1	Location 44
11	Aisle 0	Location 36
12	Aisle 0	Location 21
13	Aisle 1	Location 16
14	Aisle 2	Location 4
15	Aisle 3	Location 11
16	Aisle 5	Location 18
17	Aisle 1	Location 27
Order 22	number of articles 22	due date 203.833
0	Aisle 1	Location 43
1	Aisle 2	Location 34
2	Aisle 5	Location 34
3	Aisle 0	Location 19
4	Aisle 5	Location 30
5	Aisle 2	Location 42
6	Aisle 1	Location 8
7	Aisle 0	Location 17
8	Aisle 0	Location 43
9	Aisle 2	Location 11
10	Aisle 0	Location 36
11	Aisle 0	Location 33
12	Aisle 13	Location 16
13	Aisle 1	Location 7
14	Aisle 0	Location 39
15	Aisle 0	Location 3
16	Aisle 0	Location 8
17	Aisle 3	Location 9
18	Aisle 1	Location 28
19	Aisle 0	Location 11
20	Aisle 9	Location 22
21	Aisle 1	Location 18
Order 23	number of articles 16	due date 115.833
0	Aisle 5	Location 1
1	Aisle 6	Location 11
2	Aisle 0	Location 28
3	Aisle 4	Location 11
4	Aisle 0	Location 27
5	Aisle 13	Location 7
6	Aisle 1	Location 13
7	Aisle 4	Location 20
8	Aisle 0	Location 33
9	Aisle 1	Location 19
10	Aisle 18	Location 2
11	Aisle 9	Location 14
12	Aisle 5	Location 20
13	Aisle 2	Location 14
14	Aisle 1	Location 25
15	Aisle 1	Location 24
Order 24	number of articles 23	due date 95.8333
0	Aisle 2	Location 29
1	Aisle 0	Location 21
2	Aisle 5	Location 40
3	Aisle 2	Location 25
4	Aisle 0	Location 35
5	Aisle 0	Location 11
6	Aisle 1	Location 0
7	Aisle 2	Location 22
8	Aisle 0	Location 8
9	Aisle 5	Location 24
10	Aisle 1	Location 12
11	Aisle 0	Location 7
12	Aisle 0	Location 31
13	Aisle 0	Location 18
14	Aisle 1	Location 26
15	Aisle 0	Location 36
16	Aisle 5	Location 38
17	Aisle 1	Location 29
18	Aisle 0	Location 44
19	Aisle 5	Location 39
20	Aisle 3	Location 43
21	Aisle 4	Location 5
22	Aisle 3	Location 28
Order 25	number of articles 8	due date 62.8333
0	Aisle 1	Location 31
1	Aisle 2	Location 39
2	Aisle 0	Location 17
3	Aisle 0	Location 21
4	Aisle 1	Location 24
5	Aisle 0	Location 4
6	Aisle 18	Location 17
7	Aisle 0	Location 38
Order 26	number of articles 21	due date 21.8333
0	Aisle 0	Location 34
1	Aisle 4	Location 5
2	Aisle 5	Location 34
3	Aisle 1	Location 38
4	Aisle 0	Location 33
5	Aisle 16	Location 16
6	Aisle 1	Location 1
7	Aisle 7	Location 37
8	Aisle 2	Location 31
9	Aisle 2	Location 1
10	Aisle 2	Location 9
11	Aisle 1	Location 30
12	Aisle 1	Location 23
13	Aisle 2	Location 40
14	Aisle 1	Location 31
15	Aisle 2	Location 32
16	Aisle 1	Location 24
17	Aisle 1	Location 36
18	Aisle 2	Location 34
19	Aisle 0	Location 26
20	Aisle 0	Location 10
Order 27	number of articles 20	due date 26.8333
0	Aisle 1	Location 35
1	Aisle 1	Location 0
2	Aisle 0	Location 17
3	Aisle 18	Location 24
4	Aisle 4	Location 44
5	Aisle 0	Location 13
6	Aisle 3	Location 33
7	Aisle 14	Location 38
8	Aisle 12	Location 22
9	Aisle 4	Location 7
10	Aisle 1	Location 39
11	Aisle 3	Location 24
12	Aisle 3	Location 2
13	Aisle 5	Location 39
14	Aisle 0	Location 41
15	Aisle 2	Location 25
16	Aisle 1	Location 44
17	Aisle 3	Location 8
18	Aisle 1	Location 43
19	Aisle 18	Location 10
Order 28	number of articles 13	due date 45.8333
0	Aisle 1	Location 29
1	Aisle 5	Location 9
2	Aisle 0	Location 31
3	Aisle 1	Location 3
4	Aisle 3	Location 17
5	Aisle 1	Location 12
6	Aisle 4	Location 12
7	Aisle 5	Location 35
8	Aisle 14	Location 10
9	Aisle 1	Location 31
10	Aisle 2	Location 27
11	Aisle 4	Location 31
12	Aisle 2	Location 13
Order 29	number of articles 9	due date 19.8333
0	Aisle 14	Location 34
1	Aisle 2	Location 36
2	Aisle 0	Location 23
3	Aisle 0	Location 28
4	Aisle 1	Location 4
5	Aisle 19	Location 22
6	Aisle 0	Location 34
7	Aisle 14	Location 33
8	Aisle 1	Location 26
Order 30	number of articles 12	due date 95.8333
0	Aisle 1	Location 1
1	Aisle 14	Location 18
2	Aisle 5	Location 29
3	Aisle 2	Location 26
4	Aisle 0	Location 3
5	Aisle 14	Location 1
6	Aisle 0	Location 35
7	Aisle 5	Location 44
8	Aisle 0	Location 27
9	Aisle 2	Location 41
10	Aisle 1	Location 24
11	Aisle 0	Location 33
Order 31	number of articles 14	due date 130.833
0	Aisle 1	Location 29
1	Aisle 5	Location 41
2	Aisle 3	Location 28
3	Aisle 0	Location 35
4	Aisle 1	Location 20
5	Aisle 1	Location 30
6	Aisle 1	Location 10
7	Aisle 6	Location 16
8	Aisle 4	Location 30
9	Aisle 3	Location 30
10	Aisle 7	Location 12
11	Aisle 0	Location 20
12	Aisle 5	Location 27
13	Aisle 1	Location 14
Order 32	number of articles 10	due date 97.8333
0	Aisle 19	Location 44
1	Aisle 5	Location 26
2	Aisle 0	Location 11
3	Aisle 0	Location 13
4	Aisle 1	Location 38
5	Aisle 10	Location 3
6	Aisle 8	Location 14
7	Aisle 4	Location 37
8	Aisle 5	Location 3
9	Aisle 4	Location 32
Order 33	number of articles 23	due date 20.8333
0	Aisle 3	Location 6
1	Aisle 4	Location 11
2	Aisle 3	Location 28
3	Aisle 3	Location 14
4	Aisle 0	Location 42
5	Aisle 4	Location 4
6	Aisle 0	Location 34
7	Aisle 4	Location 25
8	Aisle 0	Location 13
9	Aisle 10	Location 35
10	Aisle 0	Location 44
11	Aisle 2	Location 13
12	Aisle 3	Location 30
13	Aisle 0	Location 30
14	Aisle 1	Location 8
15	Aisle 0	Location 27
16	Aisle 13	Location 43
17	Aisle 17	Location 26
18	Aisle 1	Location 27
19	Aisle 14	Location 0
20	Aisle 1	Location 1
21	Aisle 3	Location 29
22	Aisle 5	Location 3
Order 34	number of articles 12	due date 165.833
0	Aisle 1	Location 35
1	Aisle 15	Location 39
2	Aisle 1	Location 1
3	Aisle 2	Location 10
4	Aisle 1	Location 15
5	Aisle 4	Location 11
6	Aisle 3	Location 8
7	Aisle 0	Location 36
8	Aisle 5	Location 35
9	Aisle 17	Location 13
10	Aisle 3	Location 30
11	Aisle 3	Location 21
Order 35	number of articles 11	due date 111.833
0	Aisle 2	Location 13
1	Aisle 9	Location 9
2	Aisle 0	Location 39
3	Aisle 0	Location 16
4	Aisle 0	Location 11
5	Aisle 1	Location 7
6	Aisle 12	Location 23
7	Aisle 1	Location 2
8	Aisle 4	Location 23
9	Aisle 0	Location 33
10	Aisle 2	Location 28
Order 36	number of articles 10	due date 7.83333
0	Aisle 2	Location 34
1	Aisle 1	Location 31
2	Aisle 1	Location 10
3	Aisle 3	Location 7
4	Aisle 4	Location 2
5	Aisle 3	Location 36
6	Aisle 16	Location 10
7	Aisle 0	Location 37
8	Aisle 0	Location 11
9	Aisle 4	Location 34
Order 37	number of articles 15	due date 214.833
0	Aisle 0	Location 12
1	Aisle 1	Location 7
2	Aisle 3	Location 43
3	Aisle 0	Location 44
4	Aisle 1	Location 39
5	Aisle 0	Location 39
6	Aisle 14	Location 10
7	Aisle 1	Location 29
8	Aisle 17	Location 30
9	Aisle 0	Location 7
10	Aisle 0	Location 40
11	Aisle 2	Location 42
12	Aisle 3	Location 7
13	Aisle 1	Location 4
14	Aisle 10	Location 6
Order 38	number of articles 15	due date 169.833
0	Aisle 2	Location 9
1	Aisle 4	Location 17
2	Aisle 0	Location 25
3	Aisle 1	Location 26
4	Aisle 4	Location 39
5	Aisle 5	Location 19
6	Aisle 5	Location 9
7	Aisle 14	Location 5
8	Aisle 1	Location 14
9	Aisle 15	Location 43
10	Aisle 1	Location 41
11	Aisle 16	Location 9
12	Aisle 5	Location 21
13	Aisle 16	Location 23
14	Aisle 12	Location 27
Order 39	number of articles 18	due date 97.8333
0	Aisle 1	Location 19
1	Aisle 1	Location 14
2	Aisle 5	Location 28
3	Aisle 4	Location 22
4	Aisle 1	Location 37
5	Aisle 0	Location 43
6	Aisle 1	Location 7
7	Aisle 1	Location 6
8	Aisle 0	Location 32
9	Aisle 0	Location 6
10	Aisle 0	Location 15
11	Aisle 3	Location 28
12	Aisle 5	Location 33
13	Aisle 0	Location 24
14	Aisle 1	Location 9
15	Aisle 0	Location 27
16	Aisle 1	Location 40
17	Aisle 5	Location 13
