Order 0	number of articles 20	due date 27.2917
2	Aisle 4	Location 0
3	Aisle 1	Location 26
4	Aisle 3	Location 19
5	Aisle 0	Location 23
6	Aisle 0	Location 20
7	Aisle 10	Location 16
8	Aisle 0	Location 16
9	Aisle 1	Location 1
10	Aisle 3	Location 29
11	Aisle 18	Location 32
12	Aisle 1	Location 10
13	Aisle 5	Location 5
14	Aisle 0	Location 19
15	Aisle 3	Location 42
Order 7	number of articles 14	due date 89.2917
0	Aisle 3	Location 33
1	Aisle 0	Location 38
2	Aisle 1	Location 30
3	Aisle 0	Location 7
4	Aisle 0	Location 32
5	Aisle 1	Location 31
6	Aisle 3	Location 25
7	Aisle 5	Location 32
8	Aisle 0	Location 8
9	Aisle 1	Location 24
10	Aisle 2	Location 31
11	Aisle 1	Location 32
12	Aisle 1	Location 33
13	Aisle 2	Location 33
Order 8	number of articles 5	due date 72.2917
0	Aisle 5	Location 0
1	Aisle 1	Location 44
2	Aisle 2	Location 27
3	Aisle 0	Location 1
4	Aisle 4	Location 31
Order 9	number of articles 20	due date 51.2917
0	Aisle 3	Location 37
1	Aisle 1	Location 4
2	Aisle 5	Location 10
3	Aisle 3	Location 8
4	Aisle 0	Location 11
5	Aisle 0	Location 29
6	Aisle 5	Location 24
7	Aisle 4	Location 5
8	Aisle 1	Location 17
9	Aisle 5	Location 2
10	Aisle 0	Location 17
11	Aisle 0	Location 23
12	Aisle 2	Location 24
13	Aisle 2	Location 0
14	Aisle 17	Location 44
15	Aisle 4	Location 18
16	Aisle 4	Location 2
17	Aisle 5	Location 43
18	Aisle 0	Location 2
19	Aisle 0	Location 3
Order 10	number of articles 19	due date 33.2917
0	Aisle 5	Location 16
1	Aisle 4	Location 2
2	Aisle 18	Location 36
3	Aisle 15	Location 26
4	Aisle 5	Location 15
5	Aisle 3	Location 8
6	Aisle 0	Location 27
7	Aisle 0	Location 10
8	Aisle 4	Location 18
9	Aisle 13	Location 41
10	Aisle 3	Location 22
11	Aisle 2	Location 35
12	Aisle 1	Location 44
13	Aisle 1	Location 19
14	Aisle 1	Location 31
15	Aisle 1	Location 35
16	Aisle 1	Location 23
17	Aisle 0	Location 23
18	Aisle 2	Location 12
Order 11	number of articles 8	due date 17.2917
0	Aisle 5	Location 43
1	Aisle 16	Location 34
2	Aisle 0	Location 28
3	Aisle 15	Location 19
4	Aisle 0	Location 24
5	Aisle 0	Location 0
6	Aisle 12	Location 21
7	Aisle 1	Location 13
Order 12	number of articles 16	due date 109.292
0	Aisle 13	Location 16
1	Aisle 1	Location 0
2	Aisle 0	Location 8
3	Aisle 5	Location 22
4	Aisle 5	Location 42
5	Aisle 8	Location 9
6	Aisle 0	Location 28
7	Aisle 2	Location 25
8	Aisle 1	Location 44
9	Aisle 1	Location 4
10	Aisle 2	Location 44
11	Aisle 2	Location 14
12	Aisle 0	Location 36
13	Aisle 0	Location 12
14	Aisle 0	Location 31
15	Aisle 0	Location 14
Order 13	number of articles 7	due date 51.2917
0	Aisle 0	Location 40
1	Aisle 0	Location 25
2	Aisle 3	Location 33
3	Aisle 1	Location 2
4	Aisle 0	Location 20
5	Aisle 3	Location 24
6	Aisle 0	Location 37
Order 14	number of articles 16	due date 61.2917
0	Aisle 1	Location 18
1	Aisle 4	Location 17
2	Aisle 6	Location 39
3	Aisle 0	Location 30
4	Aisle 1	Location 19
5	Aisle 0	Location 7
6	Aisle 2	Location 31
7	Aisle 2	Location 37
8	Aisle 3	Location 22
9	Aisle 0	Location 3
10	Aisle 3	Location 6
11	Aisle 4	Location 18
12	Aisle 0	Location 31
13	Aisle 1	Location 0
14	Aisle 5	Location 18
15	Aisle 6	Location 1
Order 15	number of articles 5	due date 11.2917
0	Aisle 1	Location 20
1	Aisle 10	Location 21
2	Aisle 0	Location 29
3	Aisle 5	Location 29
4	Aisle 3	Location 23
Order 16	number of articles 20	due date 108.292
0	Aisle 5	Location 35
1	Aisle 4	Location 38
2	Aisle 1	Location 9
3	Aisle 2	Location 1
4	Aisle 4	Location 19
5	Aisle 1	Location 14
6	Aisle 3	Location 6
7	Aisle 1	Location 27
8	Aisle 1	Location 12
9	Aisle 1	Location 2
10	Aisle 4	Location 11
11	Aisle 4	Location 15
12	Aisle 12	Location 18
13	Aisle 8	Location 4
14	Aisle 1	Location 40
15	Aisle 0	Location 35
16	Aisle 4	Location 1
17	Aisle 0	Location 41
18	Aisle 1	Location 42
19	Aisle 1	Location 1
Order 17	number of articles 7	due date 101.292
0	Aisle 5	Location 32
1	Aisle 0	Location 8
2	Aisle 0	Location 27
3	Aisle 1	Location 24
4	Aisle 0	Location 35
5	Aisle 1	Location 14
6	Aisle 5	Location 23
Order 18	number of articles 18	due date 91.2917
0	Aisle 18	Location 40
1	Aisle 0	Location 34
2	Aisle 10	Location 43
3	Aisle 5	Location 0
4	Aisle 0	Location 41
5	Aisle 0	Location 18
6	Aisle 0	Location 40
7	Aisle 1	Location 28
8	Aisle 4	Location 12
9	Aisle 4	Location 30
10	Aisle 1	Location 20
11	Aisle 5	Location 28
12	Aisle 1	Location 43
13	Aisle 4	Location 3
14	Aisle 2	Location 38
15	Aisle 1	Location 11
16	Aisle 0	Location 24
17	Aisle 1	Location 25
Order 19	number of articles 6	due date 10.2917
0	Aisle 1	Location 24
1	Aisle 1	Location 25
2	Aisle 2	Location 25
3	Aisle 1	Location 23
4	Aisle 0	Location 12
5	Aisle 0	Location 20
