Order 0	number of articles 11	due date 164.104
0	Aisle 3	Location 8
1	Aisle 1	Location 44
2	Aisle 13	Location 26
3	Aisle 1	Location 42
4	Aisle 1	Location 16
5	Aisle 11	Location 12
6	Aisle 1	Location 13
Order 13	number of articles 14	due date 69.1042
0	Aisle 3	Location 32
1	Aisle 1	Location 8
2	Aisle 3	Location 14
3	Aisle 7	Location 33
4	Aisle 1	Location 10
5	Aisle 4	Location 42
6	Aisle 2	Location 24
7	Aisle 1	Location 34
8	Aisle 4	Location 6
9	Aisle 0	Location 3
10	Aisle 1	Location 26
11	Aisle 1	Location 36
12	Aisle 4	Location 30
13	Aisle 1	Location 37
Order 14	number of articles 10	due date 78.1042
0	Aisle 19	Location 8
1	Aisle 5	Location 16
2	Aisle 0	Location 28
3	Aisle 5	Location 33
4	Aisle 0	Location 20
5	Aisle 4	Location 40
6	Aisle 3	Location 16
7	Aisle 1	Location 41
8	Aisle 1	Location 24
9	Aisle 4	Location 14
Order 15	number of articles 17	due date 111.104
0	Aisle 0	Location 2
1	Aisle 6	Location 14
2	Aisle 5	Location 36
3	Aisle 1	Location 31
4	Aisle 5	Location 12
5	Aisle 4	Location 31
6	Aisle 3	Location 38
7	Aisle 5	Location 1
8	Aisle 0	Location 36
9	Aisle 0	Location 22
10	Aisle 0	Location 4
11	Aisle 1	Location 44
12	Aisle 0	Location 43
13	Aisle 3	Location 23
14	Aisle 2	Location 36
15	Aisle 1	Location 2
16	Aisle 1	Location 38
Order 16	number of articles 18	due date 182.104
0	Aisle 4	Location 6
1	Aisle 0	Location 41
2	Aisle 1	Location 43
3	Aisle 3	Location 30
4	Aisle 3	Location 7
5	Aisle 1	Location 31
6	Aisle 0	Location 39
7	Aisle 1	Location 28
8	Aisle 1	Location 38
9	Aisle 14	Location 17
10	Aisle 5	Location 4
11	Aisle 0	Location 29
12	Aisle 3	Location 16
13	Aisle 3	Location 21
14	Aisle 1	Location 0
15	Aisle 4	Location 41
16	Aisle 0	Location 16
17	Aisle 4	Location 1
Order 17	number of articles 9	due date 134.104
0	Aisle 1	Location 13
1	Aisle 1	Location 33
2	Aisle 0	Location 18
3	Aisle 1	Location 32
4	Aisle 0	Location 8
5	Aisle 10	Location 13
6	Aisle 3	Location 7
7	Aisle 3	Location 24
8	Aisle 1	Location 21
Order 18	number of articles 18	due date 85.1042
0	Aisle 1	Location 13
1	Aisle 1	Location 6
2	Aisle 0	Location 34
3	Aisle 5	Location 41
4	Aisle 1	Location 21
5	Aisle 0	Location 35
6	Aisle 0	Location 11
7	Aisle 0	Location 12
8	Aisle 3	Location 0
9	Aisle 7	Location 13
10	Aisle 1	Location 5
11	Aisle 5	Location 5
12	Aisle 1	Location 1
13	Aisle 3	Location 25
14	Aisle 1	Location 27
15	Aisle 2	Location 4
16	Aisle 0	Location 26
17	Aisle 11	Location 7
Order 19	number of articles 22	due date 61.1042
0	Aisle 11	Location 21
1	Aisle 7	Location 22
2	Aisle 6	Location 29
3	Aisle 3	Location 3
4	Aisle 1	Location 23
5	Aisle 1	Location 7
6	Aisle 1	Location 0
7	Aisle 0	Location 37
8	Aisle 5	Location 29
9	Aisle 2	Location 43
10	Aisle 13	Location 35
11	Aisle 2	Location 16
12	Aisle 1	Location 13
13	Aisle 5	Location 28
14	Aisle 0	Location 36
15	Aisle 0	Location 23
16	Aisle 1	Location 15
17	Aisle 0	Location 11
18	Aisle 1	Location 34
19	Aisle 1	Location 26
20	Aisle 1	Location 12
21	Aisle 0	Location 13
