Order 0	number of articles 17	due date 85
2	Aisle 1	Location 2
3	Aisle 0	Location 26
4	Aisle 1	Location 8
5	Aisle 4	Location 30
6	Aisle 5	Location 36
7	Aisle 7	Location 10
8	Aisle 4	Location 1
9	Aisle 12	Location 39
10	Aisle 2	Location 2
11	Aisle 3	Location 16
12	Aisle 3	Location 24
Order 21	number of articles 7	due date 145
0	Aisle 0	Location 7
1	Aisle 0	Location 42
2	Aisle 4	Location 33
3	Aisle 1	Location 24
4	Aisle 1	Location 31
5	Aisle 1	Location 12
6	Aisle 5	Location 4
Order 22	number of articles 19	due date 62
0	Aisle 0	Location 16
1	Aisle 2	Location 40
2	Aisle 1	Location 38
3	Aisle 1	Location 2
4	Aisle 5	Location 35
5	Aisle 2	Location 1
6	Aisle 1	Location 4
7	Aisle 0	Location 22
8	Aisle 6	Location 10
9	Aisle 3	Location 23
10	Aisle 1	Location 16
11	Aisle 0	Location 10
12	Aisle 4	Location 23
13	Aisle 0	Location 44
14	Aisle 17	Location 0
15	Aisle 19	Location 21
16	Aisle 4	Location 30
17	Aisle 0	Location 21
18	Aisle 1	Location 29
Order 23	number of articles 23	due date 207
0	Aisle 1	Location 40
1	Aisle 0	Location 34
2	Aisle 4	Location 5
3	Aisle 1	Location 37
4	Aisle 3	Location 3
5	Aisle 2	Location 3
6	Aisle 0	Location 28
7	Aisle 5	Location 35
8	Aisle 19	Location 33
9	Aisle 0	Location 20
10	Aisle 0	Location 5
11	Aisle 5	Location 39
12	Aisle 1	Location 19
13	Aisle 0	Location 31
14	Aisle 1	Location 9
15	Aisle 3	Location 17
16	Aisle 1	Location 1
17	Aisle 3	Location 37
18	Aisle 1	Location 7
19	Aisle 1	Location 36
20	Aisle 2	Location 42
21	Aisle 1	Location 22
22	Aisle 0	Location 0
Order 24	number of articles 23	due date 123
0	Aisle 4	Location 35
1	Aisle 5	Location 2
2	Aisle 1	Location 28
3	Aisle 1	Location 11
4	Aisle 0	Location 25
5	Aisle 1	Location 35
6	Aisle 4	Location 12
7	Aisle 0	Location 15
8	Aisle 1	Location 32
9	Aisle 2	Location 36
10	Aisle 4	Location 11
11	Aisle 1	Location 36
12	Aisle 1	Location 17
13	Aisle 3	Location 21
14	Aisle 3	Location 30
15	Aisle 1	Location 44
16	Aisle 2	Location 11
17	Aisle 13	Location 20
18	Aisle 14	Location 16
19	Aisle 0	Location 33
20	Aisle 2	Location 17
21	Aisle 4	Location 17
22	Aisle 2	Location 14
Order 25	number of articles 8	due date 226
0	Aisle 0	Location 29
1	Aisle 0	Location 2
2	Aisle 1	Location 27
3	Aisle 0	Location 36
4	Aisle 0	Location 10
5	Aisle 1	Location 9
6	Aisle 0	Location 6
7	Aisle 4	Location 32
Order 26	number of articles 11	due date 138
0	Aisle 3	Location 40
1	Aisle 3	Location 33
2	Aisle 12	Location 3
3	Aisle 1	Location 36
4	Aisle 1	Location 27
5	Aisle 18	Location 22
6	Aisle 0	Location 5
7	Aisle 4	Location 19
8	Aisle 2	Location 6
9	Aisle 1	Location 24
10	Aisle 3	Location 14
Order 27	number of articles 22	due date 21
0	Aisle 4	Location 18
1	Aisle 0	Location 10
2	Aisle 3	Location 35
3	Aisle 0	Location 13
4	Aisle 0	Location 43
5	Aisle 1	Location 37
6	Aisle 1	Location 20
7	Aisle 0	Location 17
8	Aisle 1	Location 15
9	Aisle 11	Location 21
10	Aisle 0	Location 44
11	Aisle 2	Location 38
12	Aisle 1	Location 19
13	Aisle 4	Location 3
14	Aisle 0	Location 25
15	Aisle 2	Location 29
16	Aisle 2	Location 31
17	Aisle 15	Location 39
18	Aisle 7	Location 33
19	Aisle 0	Location 27
20	Aisle 10	Location 4
21	Aisle 11	Location 32
Order 28	number of articles 7	due date 20
0	Aisle 14	Location 23
1	Aisle 5	Location 29
2	Aisle 0	Location 22
3	Aisle 3	Location 31
4	Aisle 1	Location 0
5	Aisle 2	Location 5
6	Aisle 5	Location 13
Order 29	number of articles 9	due date 178
0	Aisle 0	Location 44
1	Aisle 10	Location 17
2	Aisle 5	Location 6
3	Aisle 4	Location 36
4	Aisle 3	Location 19
5	Aisle 1	Location 24
6	Aisle 1	Location 31
7	Aisle 0	Location 30
8	Aisle 9	Location 28
Order 30	number of articles 8	due date 61
0	Aisle 1	Location 20
1	Aisle 5	Location 44
2	Aisle 1	Location 2
3	Aisle 8	Location 9
4	Aisle 5	Location 21
5	Aisle 4	Location 23
6	Aisle 0	Location 36
7	Aisle 2	Location 8
Order 31	number of articles 17	due date 191
0	Aisle 3	Location 2
1	Aisle 1	Location 28
2	Aisle 5	Location 21
3	Aisle 1	Location 4
4	Aisle 2	Location 6
5	Aisle 0	Location 0
6	Aisle 0	Location 41
7	Aisle 8	Location 14
8	Aisle 0	Location 4
9	Aisle 1	Location 14
10	Aisle 1	Location 1
11	Aisle 6	Location 1
12	Aisle 2	Location 3
13	Aisle 1	Location 10
14	Aisle 3	Location 16
15	Aisle 1	Location 39
16	Aisle 2	Location 30
Order 32	number of articles 10	due date 165
0	Aisle 0	Location 28
1	Aisle 4	Location 33
2	Aisle 0	Location 44
3	Aisle 0	Location 30
4	Aisle 3	Location 9
5	Aisle 4	Location 18
6	Aisle 4	Location 5
7	Aisle 7	Location 23
8	Aisle 1	Location 40
9	Aisle 0	Location 41
Order 33	number of articles 19	due date 136
0	Aisle 1	Location 41
1	Aisle 1	Location 43
2	Aisle 2	Location 21
3	Aisle 3	Location 30
4	Aisle 4	Location 17
5	Aisle 1	Location 23
6	Aisle 5	Location 42
7	Aisle 1	Location 3
8	Aisle 0	Location 29
9	Aisle 0	Location 26
10	Aisle 2	Location 39
11	Aisle 0	Location 44
12	Aisle 2	Location 12
13	Aisle 4	Location 11
14	Aisle 0	Location 12
15	Aisle 1	Location 2
16	Aisle 1	Location 34
17	Aisle 1	Location 33
18	Aisle 14	Location 6
Order 34	number of articles 19	due date 143
0	Aisle 5	Location 44
1	Aisle 4	Location 19
2	Aisle 1	Location 39
3	Aisle 2	Location 23
4	Aisle 0	Location 44
5	Aisle 1	Location 27
6	Aisle 9	Location 14
7	Aisle 4	Location 10
8	Aisle 0	Location 5
9	Aisle 1	Location 10
10	Aisle 0	Location 24
11	Aisle 1	Location 9
12	Aisle 0	Location 0
13	Aisle 0	Location 22
14	Aisle 1	Location 34
15	Aisle 2	Location 14
16	Aisle 7	Location 29
17	Aisle 1	Location 13
18	Aisle 12	Location 13
Order 35	number of articles 21	due date 99
0	Aisle 1	Location 3
1	Aisle 0	Location 6
2	Aisle 1	Location 42
3	Aisle 0	Location 1
4	Aisle 0	Location 36
5	Aisle 2	Location 44
6	Aisle 0	Location 33
7	Aisle 1	Location 44
8	Aisle 15	Location 5
9	Aisle 4	Location 33
10	Aisle 1	Location 27
11	Aisle 2	Location 37
12	Aisle 4	Location 15
13	Aisle 2	Location 30
14	Aisle 1	Location 4
15	Aisle 14	Location 26
16	Aisle 1	Location 32
17	Aisle 3	Location 5
18	Aisle 2	Location 42
19	Aisle 1	Location 13
20	Aisle 4	Location 31
Order 36	number of articles 14	due date 74
0	Aisle 9	Location 9
1	Aisle 5	Location 23
2	Aisle 1	Location 41
3	Aisle 0	Location 24
4	Aisle 0	Location 30
5	Aisle 3	Location 27
6	Aisle 4	Location 21
7	Aisle 1	Location 39
8	Aisle 1	Location 19
9	Aisle 10	Location 34
10	Aisle 2	Location 39
11	Aisle 0	Location 34
12	Aisle 5	Location 4
13	Aisle 4	Location 11
Order 37	number of articles 19	due date 33
0	Aisle 0	Location 16
1	Aisle 12	Location 24
2	Aisle 0	Location 43
3	Aisle 3	Location 4
4	Aisle 1	Location 30
5	Aisle 18	Location 43
6	Aisle 1	Location 38
7	Aisle 1	Location 41
8	Aisle 3	Location 28
9	Aisle 0	Location 3
10	Aisle 5	Location 29
11	Aisle 0	Location 6
12	Aisle 1	Location 19
13	Aisle 2	Location 31
14	Aisle 9	Location 6
15	Aisle 0	Location 35
16	Aisle 1	Location 40
17	Aisle 5	Location 6
18	Aisle 2	Location 6
Order 38	number of articles 22	due date 7
0	Aisle 17	Location 17
1	Aisle 0	Location 42
2	Aisle 1	Location 8
3	Aisle 0	Location 27
4	Aisle 3	Location 13
5	Aisle 2	Location 29
6	Aisle 2	Location 1
7	Aisle 1	Location 23
8	Aisle 5	Location 42
9	Aisle 0	Location 5
10	Aisle 1	Location 41
11	Aisle 1	Location 16
12	Aisle 3	Location 29
13	Aisle 1	Location 28
14	Aisle 2	Location 6
15	Aisle 3	Location 34
16	Aisle 1	Location 32
17	Aisle 3	Location 40
18	Aisle 2	Location 17
19	Aisle 3	Location 39
20	Aisle 2	Location 21
21	Aisle 1	Location 17
Order 39	number of articles 12	due date 154
0	Aisle 1	Location 12
1	Aisle 2	Location 27
2	Aisle 0	Location 15
3	Aisle 1	Location 18
4	Aisle 19	Location 26
5	Aisle 16	Location 13
6	Aisle 1	Location 27
7	Aisle 0	Location 23
8	Aisle 0	Location 30
9	Aisle 0	Location 14
10	Aisle 0	Location 8
11	Aisle 0	Location 40
