Order 0	number of articles 10	due date 213.729
10	Aisle 0	Location 38
Order 6	number of articles 8	due date 271.729
0	Aisle 2	Location 40
1	Aisle 0	Location 33
2	Aisle 0	Location 42
3	Aisle 1	Location 27
4	Aisle 3	Location 15
5	Aisle 0	Location 36
6	Aisle 4	Location 11
7	Aisle 11	Location 13
Order 7	number of articles 20	due date 215.729
0	Aisle 0	Location 18
1	Aisle 17	Location 2
2	Aisle 0	Location 25
3	Aisle 1	Location 44
4	Aisle 1	Location 26
5	Aisle 4	Location 1
6	Aisle 1	Location 37
7	Aisle 2	Location 43
8	Aisle 0	Location 38
9	Aisle 0	Location 9
10	Aisle 4	Location 3
11	Aisle 1	Location 8
12	Aisle 0	Location 34
13	Aisle 1	Location 0
14	Aisle 4	Location 44
15	Aisle 4	Location 4
16	Aisle 3	Location 4
17	Aisle 2	Location 40
18	Aisle 7	Location 22
19	Aisle 5	Location 5
Order 8	number of articles 5	due date 97.7292
0	Aisle 5	Location 17
1	Aisle 4	Location 17
2	Aisle 3	Location 6
3	Aisle 1	Location 8
4	Aisle 3	Location 33
Order 9	number of articles 7	due date 24.7292
0	Aisle 4	Location 12
1	Aisle 0	Location 6
2	Aisle 1	Location 38
3	Aisle 0	Location 3
4	Aisle 0	Location 36
5	Aisle 1	Location 16
6	Aisle 2	Location 42
Order 10	number of articles 15	due date 197.729
0	Aisle 0	Location 18
1	Aisle 1	Location 37
2	Aisle 3	Location 26
3	Aisle 5	Location 34
4	Aisle 1	Location 31
5	Aisle 0	Location 34
6	Aisle 1	Location 8
7	Aisle 3	Location 10
8	Aisle 15	Location 4
9	Aisle 18	Location 17
10	Aisle 0	Location 23
11	Aisle 2	Location 21
12	Aisle 5	Location 20
13	Aisle 1	Location 14
14	Aisle 10	Location 37
Order 11	number of articles 11	due date 84.7292
0	Aisle 1	Location 33
1	Aisle 1	Location 11
2	Aisle 0	Location 3
3	Aisle 0	Location 8
4	Aisle 1	Location 36
5	Aisle 12	Location 16
6	Aisle 1	Location 10
7	Aisle 0	Location 34
8	Aisle 4	Location 10
9	Aisle 1	Location 39
10	Aisle 0	Location 30
Order 12	number of articles 16	due date 226.729
0	Aisle 1	Location 32
1	Aisle 4	Location 42
2	Aisle 2	Location 34
3	Aisle 3	Location 23
4	Aisle 4	Location 7
5	Aisle 3	Location 11
6	Aisle 1	Location 44
7	Aisle 2	Location 36
8	Aisle 5	Location 26
9	Aisle 15	Location 3
10	Aisle 1	Location 40
11	Aisle 19	Location 4
12	Aisle 0	Location 21
13	Aisle 1	Location 22
14	Aisle 2	Location 20
15	Aisle 3	Location 37
Order 13	number of articles 10	due date 39.7292
0	Aisle 1	Location 27
1	Aisle 5	Location 31
2	Aisle 3	Location 21
3	Aisle 0	Location 43
4	Aisle 1	Location 8
5	Aisle 5	Location 0
6	Aisle 1	Location 9
7	Aisle 1	Location 33
8	Aisle 19	Location 16
9	Aisle 3	Location 32
Order 14	number of articles 17	due date 182.729
0	Aisle 4	Location 37
1	Aisle 5	Location 37
2	Aisle 19	Location 6
3	Aisle 3	Location 38
4	Aisle 2	Location 11
5	Aisle 0	Location 43
6	Aisle 0	Location 32
7	Aisle 3	Location 0
8	Aisle 0	Location 17
9	Aisle 5	Location 35
10	Aisle 0	Location 22
11	Aisle 1	Location 26
12	Aisle 7	Location 24
13	Aisle 5	Location 20
14	Aisle 0	Location 0
15	Aisle 1	Location 25
16	Aisle 0	Location 3
Order 15	number of articles 12	due date 163.729
0	Aisle 0	Location 16
1	Aisle 1	Location 7
2	Aisle 0	Location 9
3	Aisle 1	Location 13
4	Aisle 5	Location 38
5	Aisle 1	Location 32
6	Aisle 0	Location 10
7	Aisle 1	Location 42
8	Aisle 1	Location 28
9	Aisle 5	Location 21
10	Aisle 0	Location 3
11	Aisle 4	Location 25
Order 16	number of articles 8	due date 91.7292
0	Aisle 5	Location 32
1	Aisle 10	Location 39
2	Aisle 3	Location 2
3	Aisle 1	Location 16
4	Aisle 4	Location 35
5	Aisle 2	Location 22
6	Aisle 5	Location 19
7	Aisle 5	Location 21
Order 17	number of articles 13	due date 208.729
0	Aisle 0	Location 24
1	Aisle 5	Location 27
2	Aisle 14	Location 29
3	Aisle 3	Location 37
4	Aisle 1	Location 6
5	Aisle 1	Location 19
6	Aisle 0	Location 26
7	Aisle 1	Location 38
8	Aisle 8	Location 7
9	Aisle 5	Location 8
10	Aisle 0	Location 43
11	Aisle 1	Location 37
12	Aisle 4	Location 6
Order 18	number of articles 8	due date 260.729
0	Aisle 0	Location 41
1	Aisle 1	Location 16
2	Aisle 0	Location 29
3	Aisle 11	Location 4
4	Aisle 3	Location 19
5	Aisle 1	Location 21
6	Aisle 3	Location 21
7	Aisle 0	Location 12
Order 19	number of articles 5	due date 126.729
0	Aisle 3	Location 27
1	Aisle 4	Location 42
2	Aisle 4	Location 0
3	Aisle 1	Location 36
4	Aisle 2	Location 32
Order 20	number of articles 21	due date 19.7292
0	Aisle 4	Location 25
1	Aisle 2	Location 37
2	Aisle 14	Location 41
3	Aisle 4	Location 43
4	Aisle 5	Location 17
5	Aisle 5	Location 5
6	Aisle 3	Location 4
7	Aisle 1	Location 30
8	Aisle 4	Location 18
9	Aisle 1	Location 23
10	Aisle 0	Location 26
11	Aisle 0	Location 16
12	Aisle 1	Location 6
13	Aisle 5	Location 18
14	Aisle 1	Location 41
15	Aisle 3	Location 9
16	Aisle 14	Location 20
17	Aisle 1	Location 36
18	Aisle 0	Location 32
19	Aisle 1	Location 21
20	Aisle 0	Location 12
Order 21	number of articles 5	due date 204.729
0	Aisle 1	Location 5
1	Aisle 0	Location 5
2	Aisle 1	Location 39
3	Aisle 4	Location 31
4	Aisle 16	Location 12
Order 22	number of articles 8	due date 274.729
0	Aisle 1	Location 11
1	Aisle 3	Location 5
2	Aisle 0	Location 43
3	Aisle 4	Location 4
4	Aisle 11	Location 21
5	Aisle 1	Location 35
6	Aisle 1	Location 12
7	Aisle 3	Location 13
Order 23	number of articles 20	due date 212.729
0	Aisle 3	Location 29
1	Aisle 1	Location 10
2	Aisle 3	Location 43
3	Aisle 19	Location 25
4	Aisle 2	Location 14
5	Aisle 0	Location 12
6	Aisle 7	Location 6
7	Aisle 0	Location 27
8	Aisle 1	Location 20
9	Aisle 0	Location 4
10	Aisle 5	Location 22
11	Aisle 4	Location 44
12	Aisle 1	Location 2
13	Aisle 1	Location 40
14	Aisle 17	Location 19
15	Aisle 0	Location 9
16	Aisle 0	Location 39
17	Aisle 2	Location 38
18	Aisle 17	Location 31
19	Aisle 1	Location 11
Order 24	number of articles 6	due date 61.7292
0	Aisle 1	Location 12
1	Aisle 0	Location 42
2	Aisle 3	Location 34
3	Aisle 10	Location 9
4	Aisle 1	Location 20
5	Aisle 0	Location 3
Order 25	number of articles 7	due date 31.7292
0	Aisle 0	Location 6
1	Aisle 0	Location 13
2	Aisle 0	Location 27
3	Aisle 7	Location 41
4	Aisle 9	Location 10
5	Aisle 0	Location 23
6	Aisle 4	Location 42
Order 26	number of articles 16	due date 93.7292
0	Aisle 0	Location 37
1	Aisle 1	Location 43
2	Aisle 5	Location 12
3	Aisle 1	Location 17
4	Aisle 4	Location 17
5	Aisle 1	Location 1
6	Aisle 2	Location 0
7	Aisle 6	Location 38
8	Aisle 3	Location 10
9	Aisle 1	Location 20
10	Aisle 2	Location 27
11	Aisle 4	Location 24
12	Aisle 5	Location 25
13	Aisle 9	Location 18
14	Aisle 1	Location 26
15	Aisle 0	Location 19
Order 27	number of articles 14	due date 69.7292
0	Aisle 1	Location 2
1	Aisle 4	Location 35
2	Aisle 2	Location 24
3	Aisle 1	Location 41
4	Aisle 0	Location 42
5	Aisle 17	Location 7
6	Aisle 4	Location 17
7	Aisle 0	Location 28
8	Aisle 2	Location 28
9	Aisle 7	Location 9
10	Aisle 4	Location 41
11	Aisle 0	Location 27
12	Aisle 13	Location 40
13	Aisle 5	Location 21
Order 28	number of articles 17	due date 170.729
0	Aisle 0	Location 31
1	Aisle 9	Location 33
2	Aisle 0	Location 39
3	Aisle 1	Location 38
4	Aisle 0	Location 33
5	Aisle 1	Location 29
6	Aisle 0	Location 2
7	Aisle 4	Location 23
8	Aisle 4	Location 1
9	Aisle 0	Location 10
10	Aisle 1	Location 18
11	Aisle 1	Location 21
12	Aisle 3	Location 29
13	Aisle 1	Location 34
14	Aisle 0	Location 25
15	Aisle 0	Location 30
16	Aisle 0	Location 36
Order 29	number of articles 5	due date 106.729
0	Aisle 0	Location 15
1	Aisle 13	Location 41
2	Aisle 0	Location 2
3	Aisle 0	Location 7
4	Aisle 4	Location 25
Order 30	number of articles 7	due date 133.729
0	Aisle 6	Location 1
1	Aisle 0	Location 20
2	Aisle 17	Location 1
3	Aisle 0	Location 40
4	Aisle 4	Location 24
5	Aisle 3	Location 22
6	Aisle 1	Location 39
Order 31	number of articles 14	due date 73.7292
0	Aisle 1	Location 33
1	Aisle 12	Location 36
2	Aisle 3	Location 7
3	Aisle 0	Location 25
4	Aisle 3	Location 28
5	Aisle 3	Location 40
6	Aisle 10	Location 14
7	Aisle 3	Location 2
8	Aisle 0	Location 32
9	Aisle 16	Location 42
10	Aisle 3	Location 31
11	Aisle 1	Location 20
12	Aisle 1	Location 24
13	Aisle 15	Location 38
Order 32	number of articles 18	due date 246.729
0	Aisle 2	Location 18
1	Aisle 5	Location 13
2	Aisle 0	Location 21
3	Aisle 1	Location 12
4	Aisle 1	Location 29
5	Aisle 2	Location 13
6	Aisle 19	Location 43
7	Aisle 5	Location 37
8	Aisle 15	Location 34
9	Aisle 5	Location 23
10	Aisle 7	Location 24
11	Aisle 5	Location 4
12	Aisle 0	Location 22
13	Aisle 0	Location 44
14	Aisle 0	Location 8
15	Aisle 0	Location 13
16	Aisle 4	Location 9
17	Aisle 5	Location 7
Order 33	number of articles 5	due date 215.729
0	Aisle 0	Location 30
1	Aisle 10	Location 25
2	Aisle 8	Location 25
3	Aisle 2	Location 1
4	Aisle 0	Location 36
Order 34	number of articles 7	due date 150.729
0	Aisle 5	Location 40
1	Aisle 5	Location 0
2	Aisle 5	Location 18
3	Aisle 1	Location 4
4	Aisle 10	Location 19
5	Aisle 0	Location 29
6	Aisle 4	Location 34
Order 35	number of articles 12	due date 70.7292
0	Aisle 0	Location 39
1	Aisle 5	Location 41
2	Aisle 0	Location 6
3	Aisle 0	Location 16
4	Aisle 4	Location 38
5	Aisle 11	Location 24
6	Aisle 1	Location 39
7	Aisle 1	Location 7
8	Aisle 2	Location 37
9	Aisle 2	Location 31
10	Aisle 0	Location 14
11	Aisle 1	Location 4
Order 36	number of articles 7	due date 175.729
0	Aisle 1	Location 38
1	Aisle 19	Location 42
2	Aisle 0	Location 43
3	Aisle 1	Location 3
4	Aisle 2	Location 29
5	Aisle 0	Location 24
6	Aisle 1	Location 26
Order 37	number of articles 22	due date 159.729
0	Aisle 1	Location 19
1	Aisle 1	Location 41
2	Aisle 5	Location 24
3	Aisle 0	Location 26
4	Aisle 1	Location 27
5	Aisle 2	Location 15
6	Aisle 1	Location 28
7	Aisle 0	Location 38
8	Aisle 0	Location 14
9	Aisle 3	Location 40
10	Aisle 4	Location 10
11	Aisle 10	Location 3
12	Aisle 11	Location 20
13	Aisle 10	Location 36
14	Aisle 1	Location 44
15	Aisle 0	Location 32
16	Aisle 3	Location 35
17	Aisle 11	Location 18
18	Aisle 1	Location 42
19	Aisle 11	Location 30
20	Aisle 7	Location 41
21	Aisle 0	Location 41
Order 38	number of articles 13	due date 172.729
0	Aisle 8	Location 43
1	Aisle 1	Location 32
2	Aisle 0	Location 19
3	Aisle 3	Location 1
4	Aisle 1	Location 17
5	Aisle 4	Location 31
6	Aisle 9	Location 24
7	Aisle 3	Location 5
8	Aisle 1	Location 29
9	Aisle 0	Location 41
10	Aisle 1	Location 11
11	Aisle 1	Location 43
12	Aisle 0	Location 29
Order 39	number of articles 12	due date 182.729
0	Aisle 8	Location 19
1	Aisle 0	Location 27
2	Aisle 4	Location 12
3	Aisle 3	Location 8
4	Aisle 1	Location 28
5	Aisle 0	Location 33
6	Aisle 4	Location 41
7	Aisle 5	Location 44
8	Aisle 5	Location 36
9	Aisle 5	Location 31
10	Aisle 1	Location 31
11	Aisle 1	Location 4
