Order 0	number of articles 17	due date 104.417
20	Aisle 1	Location 13
21	Aisle 3	Location 31
Order 7	number of articles 17	due date 106.417
0	Aisle 7	Location 9
1	Aisle 0	Location 42
2	Aisle 0	Location 36
3	Aisle 0	Location 15
4	Aisle 10	Location 6
5	Aisle 18	Location 19
6	Aisle 0	Location 7
7	Aisle 2	Location 35
8	Aisle 5	Location 13
9	Aisle 5	Location 14
10	Aisle 0	Location 39
11	Aisle 9	Location 26
12	Aisle 4	Location 41
13	Aisle 1	Location 3
14	Aisle 5	Location 35
15	Aisle 15	Location 8
16	Aisle 1	Location 25
Order 8	number of articles 13	due date 126.417
0	Aisle 3	Location 40
1	Aisle 1	Location 29
2	Aisle 1	Location 23
3	Aisle 3	Location 21
4	Aisle 1	Location 7
5	Aisle 0	Location 25
6	Aisle 17	Location 43
7	Aisle 12	Location 35
8	Aisle 4	Location 34
9	Aisle 7	Location 38
10	Aisle 1	Location 12
11	Aisle 0	Location 26
12	Aisle 2	Location 24
Order 9	number of articles 9	due date 13.4167
0	Aisle 12	Location 32
1	Aisle 0	Location 14
2	Aisle 1	Location 15
3	Aisle 5	Location 40
4	Aisle 0	Location 34
5	Aisle 0	Location 42
6	Aisle 1	Location 6
7	Aisle 5	Location 11
8	Aisle 0	Location 15
Order 10	number of articles 16	due date 121.417
0	Aisle 1	Location 4
1	Aisle 2	Location 28
2	Aisle 12	Location 0
3	Aisle 5	Location 10
4	Aisle 4	Location 14
5	Aisle 1	Location 32
6	Aisle 2	Location 27
7	Aisle 1	Location 2
8	Aisle 0	Location 28
9	Aisle 2	Location 20
10	Aisle 1	Location 39
11	Aisle 0	Location 30
12	Aisle 1	Location 38
13	Aisle 7	Location 9
14	Aisle 0	Location 40
15	Aisle 3	Location 37
Order 11	number of articles 6	due date 137.417
0	Aisle 0	Location 18
1	Aisle 4	Location 5
2	Aisle 3	Location 11
3	Aisle 4	Location 39
4	Aisle 2	Location 3
5	Aisle 17	Location 26
Order 12	number of articles 13	due date 7.41667
0	Aisle 7	Location 36
1	Aisle 1	Location 5
2	Aisle 3	Location 36
3	Aisle 19	Location 8
4	Aisle 0	Location 16
5	Aisle 2	Location 28
6	Aisle 3	Location 9
7	Aisle 5	Location 16
8	Aisle 4	Location 32
9	Aisle 1	Location 14
10	Aisle 0	Location 35
11	Aisle 0	Location 25
12	Aisle 0	Location 20
Order 13	number of articles 5	due date 40.4167
0	Aisle 1	Location 37
1	Aisle 0	Location 39
2	Aisle 5	Location 3
3	Aisle 0	Location 21
4	Aisle 1	Location 44
Order 14	number of articles 17	due date 33.4167
0	Aisle 1	Location 0
1	Aisle 1	Location 22
2	Aisle 5	Location 10
3	Aisle 13	Location 6
4	Aisle 0	Location 43
5	Aisle 3	Location 25
6	Aisle 0	Location 9
7	Aisle 15	Location 1
8	Aisle 5	Location 2
9	Aisle 5	Location 44
10	Aisle 3	Location 4
11	Aisle 0	Location 31
12	Aisle 5	Location 0
13	Aisle 5	Location 37
14	Aisle 4	Location 38
15	Aisle 2	Location 1
16	Aisle 1	Location 39
Order 15	number of articles 11	due date 69.4167
0	Aisle 0	Location 38
1	Aisle 0	Location 33
2	Aisle 0	Location 24
3	Aisle 4	Location 42
4	Aisle 0	Location 30
5	Aisle 0	Location 18
6	Aisle 1	Location 11
7	Aisle 0	Location 4
8	Aisle 1	Location 16
9	Aisle 1	Location 33
10	Aisle 1	Location 7
Order 16	number of articles 8	due date 36.4167
0	Aisle 0	Location 38
1	Aisle 3	Location 6
2	Aisle 7	Location 39
3	Aisle 1	Location 12
4	Aisle 0	Location 1
5	Aisle 1	Location 6
6	Aisle 5	Location 1
7	Aisle 3	Location 37
Order 17	number of articles 15	due date 5.41667
0	Aisle 19	Location 28
1	Aisle 0	Location 9
2	Aisle 16	Location 37
3	Aisle 5	Location 37
4	Aisle 5	Location 38
5	Aisle 16	Location 14
6	Aisle 1	Location 5
7	Aisle 11	Location 1
8	Aisle 1	Location 18
9	Aisle 1	Location 42
10	Aisle 11	Location 8
11	Aisle 5	Location 3
12	Aisle 0	Location 41
13	Aisle 4	Location 9
14	Aisle 14	Location 32
Order 18	number of articles 23	due date 126.417
0	Aisle 3	Location 2
1	Aisle 2	Location 17
2	Aisle 0	Location 10
3	Aisle 1	Location 16
4	Aisle 0	Location 1
5	Aisle 0	Location 15
6	Aisle 5	Location 5
7	Aisle 1	Location 5
8	Aisle 0	Location 24
9	Aisle 3	Location 6
10	Aisle 0	Location 17
11	Aisle 4	Location 0
12	Aisle 14	Location 0
13	Aisle 2	Location 39
14	Aisle 0	Location 16
15	Aisle 5	Location 6
16	Aisle 1	Location 15
17	Aisle 0	Location 33
18	Aisle 3	Location 21
19	Aisle 1	Location 11
20	Aisle 0	Location 5
21	Aisle 7	Location 42
22	Aisle 1	Location 13
Order 19	number of articles 9	due date 18.4167
0	Aisle 5	Location 40
1	Aisle 11	Location 16
2	Aisle 4	Location 44
3	Aisle 0	Location 2
4	Aisle 8	Location 9
5	Aisle 1	Location 26
6	Aisle 3	Location 5
7	Aisle 0	Location 35
8	Aisle 1	Location 31
