Order 0	number of articles 8	due date 67.4792
13	Aisle 0	Location 1
14	Aisle 0	Location 14
15	Aisle 18	Location 23
16	Aisle 0	Location 15
17	Aisle 4	Location 22
18	Aisle 2	Location 39
19	Aisle 1	Location 37
20	Aisle 8	Location 16
Order 5	number of articles 6	due date 52.4792
0	Aisle 4	Location 40
1	Aisle 0	Location 44
2	Aisle 2	Location 28
3	Aisle 0	Location 29
4	Aisle 0	Location 6
5	Aisle 3	Location 14
Order 6	number of articles 14	due date 71.4792
0	Aisle 5	Location 30
1	Aisle 4	Location 30
2	Aisle 4	Location 33
3	Aisle 3	Location 16
4	Aisle 1	Location 25
5	Aisle 7	Location 26
6	Aisle 0	Location 36
7	Aisle 1	Location 31
8	Aisle 1	Location 8
9	Aisle 2	Location 31
10	Aisle 5	Location 41
11	Aisle 0	Location 6
12	Aisle 2	Location 13
13	Aisle 19	Location 37
Order 7	number of articles 22	due date 149.479
0	Aisle 4	Location 32
1	Aisle 18	Location 22
2	Aisle 0	Location 40
3	Aisle 6	Location 43
4	Aisle 4	Location 38
5	Aisle 3	Location 35
6	Aisle 1	Location 10
7	Aisle 0	Location 27
8	Aisle 0	Location 5
9	Aisle 5	Location 14
10	Aisle 5	Location 32
11	Aisle 5	Location 34
12	Aisle 0	Location 18
13	Aisle 1	Location 36
14	Aisle 5	Location 35
15	Aisle 1	Location 43
16	Aisle 1	Location 18
17	Aisle 1	Location 8
18	Aisle 0	Location 30
19	Aisle 4	Location 23
20	Aisle 17	Location 35
21	Aisle 0	Location 25
Order 8	number of articles 20	due date 37.4792
0	Aisle 5	Location 16
1	Aisle 1	Location 0
2	Aisle 4	Location 4
3	Aisle 4	Location 12
4	Aisle 5	Location 26
5	Aisle 1	Location 13
6	Aisle 0	Location 37
7	Aisle 0	Location 22
8	Aisle 4	Location 2
9	Aisle 13	Location 39
10	Aisle 1	Location 7
11	Aisle 2	Location 7
12	Aisle 1	Location 22
13	Aisle 1	Location 27
14	Aisle 3	Location 6
15	Aisle 0	Location 15
16	Aisle 0	Location 31
17	Aisle 2	Location 10
18	Aisle 3	Location 39
19	Aisle 1	Location 10
Order 9	number of articles 21	due date 147.479
0	Aisle 3	Location 30
1	Aisle 11	Location 15
2	Aisle 4	Location 37
3	Aisle 0	Location 38
4	Aisle 1	Location 35
5	Aisle 19	Location 31
6	Aisle 0	Location 17
7	Aisle 1	Location 23
8	Aisle 5	Location 31
9	Aisle 2	Location 0
10	Aisle 4	Location 29
11	Aisle 0	Location 29
12	Aisle 6	Location 13
13	Aisle 0	Location 22
14	Aisle 1	Location 11
15	Aisle 18	Location 38
16	Aisle 1	Location 39
17	Aisle 1	Location 24
18	Aisle 0	Location 21
19	Aisle 0	Location 31
20	Aisle 19	Location 12
Order 10	number of articles 16	due date 7.47917
0	Aisle 0	Location 26
1	Aisle 6	Location 5
2	Aisle 1	Location 44
3	Aisle 0	Location 30
4	Aisle 1	Location 42
5	Aisle 5	Location 0
6	Aisle 5	Location 21
7	Aisle 4	Location 44
8	Aisle 3	Location 4
9	Aisle 0	Location 0
10	Aisle 1	Location 18
11	Aisle 2	Location 6
12	Aisle 3	Location 32
13	Aisle 9	Location 5
14	Aisle 13	Location 29
15	Aisle 2	Location 40
Order 11	number of articles 9	due date 47.4792
0	Aisle 12	Location 36
1	Aisle 17	Location 25
2	Aisle 3	Location 36
3	Aisle 1	Location 36
4	Aisle 1	Location 12
5	Aisle 6	Location 11
6	Aisle 19	Location 18
7	Aisle 10	Location 26
8	Aisle 0	Location 40
Order 12	number of articles 16	due date 39.4792
0	Aisle 12	Location 25
1	Aisle 1	Location 18
2	Aisle 16	Location 12
3	Aisle 0	Location 5
4	Aisle 17	Location 5
5	Aisle 5	Location 1
6	Aisle 1	Location 19
7	Aisle 5	Location 19
8	Aisle 5	Location 14
9	Aisle 0	Location 43
10	Aisle 5	Location 35
11	Aisle 5	Location 31
12	Aisle 0	Location 9
13	Aisle 1	Location 21
14	Aisle 8	Location 31
15	Aisle 4	Location 5
Order 13	number of articles 17	due date 124.479
0	Aisle 4	Location 13
1	Aisle 4	Location 23
2	Aisle 3	Location 5
3	Aisle 0	Location 20
4	Aisle 1	Location 8
5	Aisle 3	Location 9
6	Aisle 1	Location 32
7	Aisle 0	Location 0
8	Aisle 3	Location 24
9	Aisle 1	Location 43
10	Aisle 1	Location 6
11	Aisle 1	Location 10
12	Aisle 1	Location 35
13	Aisle 3	Location 20
14	Aisle 5	Location 7
15	Aisle 1	Location 18
16	Aisle 4	Location 2
Order 14	number of articles 12	due date 58.4792
0	Aisle 5	Location 9
1	Aisle 5	Location 35
2	Aisle 1	Location 26
3	Aisle 2	Location 26
4	Aisle 1	Location 40
5	Aisle 1	Location 32
6	Aisle 3	Location 23
7	Aisle 0	Location 7
8	Aisle 1	Location 38
9	Aisle 2	Location 36
10	Aisle 0	Location 34
11	Aisle 1	Location 41
Order 15	number of articles 16	due date 180.479
0	Aisle 3	Location 17
1	Aisle 1	Location 42
2	Aisle 0	Location 18
3	Aisle 5	Location 34
4	Aisle 1	Location 44
5	Aisle 5	Location 12
6	Aisle 3	Location 15
7	Aisle 1	Location 17
8	Aisle 15	Location 16
9	Aisle 0	Location 15
10	Aisle 2	Location 15
11	Aisle 1	Location 39
12	Aisle 2	Location 43
13	Aisle 3	Location 10
14	Aisle 0	Location 16
15	Aisle 1	Location 5
Order 16	number of articles 12	due date 144.479
0	Aisle 4	Location 42
1	Aisle 5	Location 14
2	Aisle 3	Location 23
3	Aisle 19	Location 42
4	Aisle 0	Location 38
5	Aisle 3	Location 2
6	Aisle 1	Location 7
7	Aisle 12	Location 33
8	Aisle 4	Location 1
9	Aisle 0	Location 13
10	Aisle 0	Location 27
11	Aisle 4	Location 20
Order 17	number of articles 24	due date 135.479
0	Aisle 5	Location 40
1	Aisle 0	Location 3
2	Aisle 1	Location 13
3	Aisle 4	Location 23
4	Aisle 1	Location 9
5	Aisle 5	Location 11
6	Aisle 7	Location 33
7	Aisle 17	Location 23
8	Aisle 3	Location 8
9	Aisle 1	Location 44
10	Aisle 1	Location 35
11	Aisle 0	Location 5
12	Aisle 1	Location 34
13	Aisle 0	Location 18
14	Aisle 0	Location 36
15	Aisle 14	Location 4
16	Aisle 4	Location 39
17	Aisle 0	Location 15
18	Aisle 4	Location 37
19	Aisle 0	Location 42
20	Aisle 0	Location 32
21	Aisle 0	Location 34
22	Aisle 0	Location 12
23	Aisle 1	Location 38
Order 18	number of articles 11	due date 53.4792
0	Aisle 0	Location 39
1	Aisle 5	Location 11
2	Aisle 3	Location 5
3	Aisle 4	Location 25
4	Aisle 1	Location 26
5	Aisle 5	Location 6
6	Aisle 1	Location 1
7	Aisle 1	Location 14
8	Aisle 0	Location 10
9	Aisle 5	Location 23
10	Aisle 0	Location 31
Order 19	number of articles 21	due date 94.4792
0	Aisle 3	Location 18
1	Aisle 0	Location 5
2	Aisle 4	Location 13
3	Aisle 1	Location 35
4	Aisle 1	Location 27
5	Aisle 1	Location 44
6	Aisle 1	Location 23
7	Aisle 0	Location 39
8	Aisle 0	Location 11
9	Aisle 15	Location 10
10	Aisle 1	Location 4
11	Aisle 17	Location 24
12	Aisle 1	Location 37
13	Aisle 13	Location 44
14	Aisle 2	Location 17
15	Aisle 4	Location 11
16	Aisle 1	Location 22
17	Aisle 0	Location 34
18	Aisle 3	Location 38
19	Aisle 5	Location 8
20	Aisle 0	Location 35
