Order 0	number of articles 20	due date 27.3958
18	Aisle 0	Location 43
Order 13	number of articles 18	due date 36.3958
0	Aisle 4	Location 31
1	Aisle 2	Location 13
2	Aisle 17	Location 35
3	Aisle 1	Location 13
4	Aisle 4	Location 2
5	Aisle 1	Location 23
6	Aisle 2	Location 17
7	Aisle 4	Location 36
8	Aisle 0	Location 29
9	Aisle 4	Location 10
10	Aisle 4	Location 8
11	Aisle 0	Location 17
12	Aisle 1	Location 29
13	Aisle 5	Location 31
14	Aisle 12	Location 37
15	Aisle 0	Location 42
16	Aisle 5	Location 11
17	Aisle 5	Location 19
Order 14	number of articles 6	due date 184.396
0	Aisle 2	Location 13
1	Aisle 1	Location 37
2	Aisle 4	Location 34
3	Aisle 2	Location 15
4	Aisle 14	Location 38
5	Aisle 4	Location 29
Order 15	number of articles 7	due date 208.396
0	Aisle 1	Location 25
1	Aisle 8	Location 31
2	Aisle 0	Location 17
3	Aisle 1	Location 6
4	Aisle 0	Location 43
5	Aisle 0	Location 2
6	Aisle 2	Location 7
Order 16	number of articles 19	due date 25.3958
0	Aisle 0	Location 31
1	Aisle 0	Location 4
2	Aisle 0	Location 15
3	Aisle 5	Location 25
4	Aisle 0	Location 2
5	Aisle 4	Location 2
6	Aisle 12	Location 30
7	Aisle 3	Location 5
8	Aisle 1	Location 27
9	Aisle 1	Location 23
10	Aisle 0	Location 19
11	Aisle 4	Location 14
12	Aisle 1	Location 9
13	Aisle 1	Location 19
14	Aisle 0	Location 18
15	Aisle 5	Location 33
16	Aisle 3	Location 0
17	Aisle 1	Location 17
18	Aisle 1	Location 5
Order 17	number of articles 6	due date 87.3958
0	Aisle 1	Location 1
1	Aisle 1	Location 32
2	Aisle 0	Location 30
3	Aisle 0	Location 1
4	Aisle 0	Location 15
5	Aisle 0	Location 25
Order 18	number of articles 15	due date 31.3958
0	Aisle 16	Location 2
1	Aisle 8	Location 14
2	Aisle 1	Location 8
3	Aisle 5	Location 29
4	Aisle 1	Location 21
5	Aisle 0	Location 5
6	Aisle 0	Location 15
7	Aisle 2	Location 24
8	Aisle 3	Location 15
9	Aisle 5	Location 37
10	Aisle 4	Location 9
11	Aisle 5	Location 22
12	Aisle 3	Location 25
13	Aisle 1	Location 23
14	Aisle 2	Location 30
Order 19	number of articles 23	due date 52.3958
0	Aisle 1	Location 5
1	Aisle 1	Location 25
2	Aisle 6	Location 30
3	Aisle 18	Location 8
4	Aisle 4	Location 26
5	Aisle 4	Location 11
6	Aisle 1	Location 26
7	Aisle 2	Location 36
8	Aisle 0	Location 3
9	Aisle 1	Location 21
10	Aisle 0	Location 9
11	Aisle 3	Location 10
12	Aisle 5	Location 2
13	Aisle 1	Location 13
14	Aisle 2	Location 37
15	Aisle 3	Location 26
16	Aisle 2	Location 20
17	Aisle 0	Location 13
18	Aisle 0	Location 20
19	Aisle 2	Location 31
20	Aisle 1	Location 1
21	Aisle 0	Location 0
22	Aisle 1	Location 32
