Order 0	number of articles 11	due date 35.8333
8	Aisle 0	Location 5
9	Aisle 0	Location 6
10	Aisle 0	Location 14
11	Aisle 4	Location 37
12	Aisle 0	Location 41
13	Aisle 0	Location 0
14	Aisle 0	Location 22
15	Aisle 2	Location 4
16	Aisle 4	Location 29
17	Aisle 5	Location 35
Order 11	number of articles 11	due date 87.8333
0	Aisle 1	Location 17
1	Aisle 2	Location 14
2	Aisle 3	Location 24
3	Aisle 0	Location 21
4	Aisle 0	Location 18
5	Aisle 18	Location 36
6	Aisle 1	Location 44
7	Aisle 1	Location 39
8	Aisle 5	Location 30
9	Aisle 0	Location 42
10	Aisle 4	Location 31
Order 12	number of articles 23	due date 129.833
0	Aisle 5	Location 6
1	Aisle 1	Location 22
2	Aisle 4	Location 43
3	Aisle 0	Location 6
4	Aisle 1	Location 15
5	Aisle 0	Location 36
6	Aisle 0	Location 14
7	Aisle 10	Location 20
8	Aisle 0	Location 32
9	Aisle 5	Location 27
10	Aisle 4	Location 16
11	Aisle 1	Location 28
12	Aisle 3	Location 39
13	Aisle 1	Location 12
14	Aisle 3	Location 4
15	Aisle 0	Location 2
16	Aisle 16	Location 26
17	Aisle 1	Location 18
18	Aisle 1	Location 8
19	Aisle 1	Location 4
20	Aisle 0	Location 0
21	Aisle 4	Location 10
22	Aisle 1	Location 9
Order 13	number of articles 11	due date 40.8333
0	Aisle 0	Location 41
1	Aisle 0	Location 23
2	Aisle 0	Location 26
3	Aisle 0	Location 5
4	Aisle 4	Location 36
5	Aisle 1	Location 1
6	Aisle 4	Location 28
7	Aisle 10	Location 30
8	Aisle 1	Location 18
9	Aisle 1	Location 38
10	Aisle 3	Location 29
Order 14	number of articles 5	due date 61.8333
0	Aisle 11	Location 4
1	Aisle 1	Location 41
2	Aisle 1	Location 35
3	Aisle 1	Location 26
4	Aisle 1	Location 14
Order 15	number of articles 21	due date 127.833
0	Aisle 0	Location 43
1	Aisle 1	Location 9
2	Aisle 0	Location 10
3	Aisle 1	Location 21
4	Aisle 0	Location 12
5	Aisle 1	Location 3
6	Aisle 1	Location 27
7	Aisle 0	Location 29
8	Aisle 4	Location 7
9	Aisle 1	Location 0
10	Aisle 6	Location 28
11	Aisle 6	Location 35
12	Aisle 3	Location 28
13	Aisle 3	Location 14
14	Aisle 1	Location 14
15	Aisle 3	Location 29
16	Aisle 1	Location 20
17	Aisle 11	Location 42
18	Aisle 0	Location 13
19	Aisle 13	Location 13
20	Aisle 0	Location 17
Order 16	number of articles 10	due date 26.8333
0	Aisle 3	Location 33
1	Aisle 5	Location 16
2	Aisle 1	Location 4
3	Aisle 0	Location 23
4	Aisle 1	Location 14
5	Aisle 1	Location 24
6	Aisle 5	Location 12
7	Aisle 3	Location 2
8	Aisle 0	Location 8
9	Aisle 0	Location 39
Order 17	number of articles 14	due date 31.8333
0	Aisle 5	Location 10
1	Aisle 0	Location 43
2	Aisle 5	Location 36
3	Aisle 0	Location 26
4	Aisle 6	Location 29
5	Aisle 0	Location 28
6	Aisle 0	Location 23
7	Aisle 0	Location 34
8	Aisle 3	Location 43
9	Aisle 1	Location 28
10	Aisle 1	Location 32
11	Aisle 0	Location 21
12	Aisle 1	Location 22
13	Aisle 17	Location 7
Order 18	number of articles 22	due date 79.8333
0	Aisle 2	Location 44
1	Aisle 1	Location 22
2	Aisle 0	Location 37
3	Aisle 2	Location 3
4	Aisle 1	Location 33
5	Aisle 0	Location 23
6	Aisle 1	Location 16
7	Aisle 3	Location 12
8	Aisle 0	Location 38
9	Aisle 2	Location 22
10	Aisle 3	Location 43
11	Aisle 1	Location 19
12	Aisle 1	Location 6
13	Aisle 5	Location 21
14	Aisle 1	Location 2
15	Aisle 0	Location 29
16	Aisle 5	Location 39
17	Aisle 8	Location 25
18	Aisle 1	Location 11
19	Aisle 0	Location 14
20	Aisle 0	Location 27
21	Aisle 1	Location 44
Order 19	number of articles 12	due date 77.8333
0	Aisle 1	Location 20
1	Aisle 1	Location 0
2	Aisle 1	Location 13
3	Aisle 2	Location 38
4	Aisle 0	Location 38
5	Aisle 2	Location 16
6	Aisle 0	Location 12
7	Aisle 1	Location 29
8	Aisle 1	Location 3
9	Aisle 3	Location 12
10	Aisle 5	Location 40
11	Aisle 4	Location 42
