Order 0	number of articles 7	due date 42
2	Aisle 2	Location 6
3	Aisle 1	Location 33
4	Aisle 3	Location 44
5	Aisle 2	Location 25
6	Aisle 18	Location 21
7	Aisle 3	Location 16
8	Aisle 5	Location 12
9	Aisle 0	Location 21
10	Aisle 1	Location 20
11	Aisle 0	Location 39
12	Aisle 1	Location 6
13	Aisle 2	Location 19
14	Aisle 0	Location 9
15	Aisle 0	Location 38
16	Aisle 1	Location 5
17	Aisle 15	Location 44
18	Aisle 10	Location 8
19	Aisle 3	Location 4
Order 18	number of articles 13	due date 88
0	Aisle 5	Location 20
1	Aisle 1	Location 36
2	Aisle 2	Location 1
3	Aisle 0	Location 31
4	Aisle 1	Location 1
5	Aisle 4	Location 43
6	Aisle 0	Location 42
7	Aisle 4	Location 22
8	Aisle 3	Location 15
9	Aisle 0	Location 2
10	Aisle 6	Location 1
11	Aisle 4	Location 1
12	Aisle 0	Location 12
Order 19	number of articles 21	due date 28
0	Aisle 1	Location 39
1	Aisle 3	Location 44
2	Aisle 0	Location 43
3	Aisle 0	Location 12
4	Aisle 5	Location 2
5	Aisle 1	Location 40
6	Aisle 1	Location 8
7	Aisle 14	Location 1
8	Aisle 3	Location 11
9	Aisle 5	Location 35
10	Aisle 5	Location 15
11	Aisle 0	Location 26
12	Aisle 0	Location 34
13	Aisle 1	Location 17
14	Aisle 5	Location 4
15	Aisle 1	Location 44
16	Aisle 1	Location 43
17	Aisle 1	Location 38
18	Aisle 1	Location 35
19	Aisle 2	Location 29
20	Aisle 4	Location 35
Order 20	number of articles 9	due date 111
0	Aisle 0	Location 0
1	Aisle 1	Location 11
2	Aisle 17	Location 32
3	Aisle 1	Location 40
4	Aisle 2	Location 31
5	Aisle 0	Location 4
6	Aisle 1	Location 23
7	Aisle 0	Location 41
8	Aisle 0	Location 43
Order 21	number of articles 17	due date 27
0	Aisle 0	Location 6
1	Aisle 3	Location 9
2	Aisle 0	Location 40
3	Aisle 2	Location 40
4	Aisle 4	Location 12
5	Aisle 1	Location 33
6	Aisle 1	Location 19
7	Aisle 1	Location 12
8	Aisle 11	Location 40
9	Aisle 10	Location 22
10	Aisle 1	Location 9
11	Aisle 5	Location 12
12	Aisle 4	Location 6
13	Aisle 1	Location 44
14	Aisle 1	Location 40
15	Aisle 11	Location 8
16	Aisle 1	Location 38
Order 22	number of articles 21	due date 219
0	Aisle 5	Location 44
1	Aisle 0	Location 13
2	Aisle 4	Location 36
3	Aisle 5	Location 25
4	Aisle 1	Location 18
5	Aisle 0	Location 22
6	Aisle 0	Location 40
7	Aisle 1	Location 29
8	Aisle 0	Location 24
9	Aisle 1	Location 40
10	Aisle 3	Location 1
11	Aisle 0	Location 12
12	Aisle 4	Location 4
13	Aisle 0	Location 25
14	Aisle 5	Location 7
15	Aisle 1	Location 28
16	Aisle 0	Location 16
17	Aisle 1	Location 37
18	Aisle 4	Location 39
19	Aisle 11	Location 5
20	Aisle 0	Location 32
Order 23	number of articles 10	due date 95
0	Aisle 3	Location 12
1	Aisle 3	Location 6
2	Aisle 5	Location 15
3	Aisle 3	Location 4
4	Aisle 0	Location 4
5	Aisle 0	Location 43
6	Aisle 2	Location 34
7	Aisle 0	Location 17
8	Aisle 2	Location 39
9	Aisle 3	Location 26
Order 24	number of articles 7	due date 153
0	Aisle 1	Location 43
1	Aisle 0	Location 8
2	Aisle 1	Location 18
3	Aisle 4	Location 19
4	Aisle 2	Location 5
5	Aisle 1	Location 25
6	Aisle 1	Location 3
Order 25	number of articles 9	due date 97
0	Aisle 2	Location 11
1	Aisle 5	Location 18
2	Aisle 0	Location 32
3	Aisle 0	Location 43
4	Aisle 4	Location 4
5	Aisle 3	Location 31
6	Aisle 4	Location 0
7	Aisle 3	Location 39
8	Aisle 11	Location 11
Order 26	number of articles 7	due date 123
0	Aisle 0	Location 15
1	Aisle 3	Location 19
2	Aisle 12	Location 30
3	Aisle 3	Location 35
4	Aisle 1	Location 11
5	Aisle 15	Location 39
6	Aisle 4	Location 23
Order 27	number of articles 14	due date 157
0	Aisle 1	Location 38
1	Aisle 1	Location 42
2	Aisle 5	Location 19
3	Aisle 0	Location 32
4	Aisle 5	Location 14
5	Aisle 0	Location 8
6	Aisle 2	Location 31
7	Aisle 1	Location 17
8	Aisle 1	Location 27
9	Aisle 0	Location 6
10	Aisle 0	Location 40
11	Aisle 1	Location 7
12	Aisle 5	Location 32
13	Aisle 1	Location 3
Order 28	number of articles 16	due date 224
0	Aisle 0	Location 19
1	Aisle 4	Location 27
2	Aisle 1	Location 13
3	Aisle 1	Location 25
4	Aisle 0	Location 0
5	Aisle 1	Location 15
6	Aisle 2	Location 31
7	Aisle 5	Location 6
8	Aisle 4	Location 8
9	Aisle 5	Location 5
10	Aisle 0	Location 1
11	Aisle 5	Location 19
12	Aisle 2	Location 11
13	Aisle 1	Location 5
14	Aisle 1	Location 41
15	Aisle 5	Location 38
Order 29	number of articles 7	due date 52
0	Aisle 0	Location 29
1	Aisle 3	Location 39
2	Aisle 0	Location 39
3	Aisle 1	Location 3
4	Aisle 1	Location 26
5	Aisle 1	Location 35
6	Aisle 0	Location 24
Order 30	number of articles 7	due date 39
0	Aisle 1	Location 9
1	Aisle 5	Location 30
2	Aisle 3	Location 25
3	Aisle 1	Location 18
4	Aisle 3	Location 7
5	Aisle 0	Location 21
6	Aisle 0	Location 29
Order 31	number of articles 21	due date 218
0	Aisle 0	Location 9
1	Aisle 5	Location 34
2	Aisle 1	Location 24
3	Aisle 1	Location 32
4	Aisle 0	Location 24
5	Aisle 0	Location 11
6	Aisle 0	Location 17
7	Aisle 1	Location 18
8	Aisle 0	Location 40
9	Aisle 4	Location 3
10	Aisle 5	Location 23
11	Aisle 7	Location 44
12	Aisle 10	Location 1
13	Aisle 4	Location 29
14	Aisle 0	Location 0
15	Aisle 1	Location 40
16	Aisle 12	Location 24
17	Aisle 1	Location 13
18	Aisle 2	Location 44
19	Aisle 3	Location 33
20	Aisle 0	Location 33
Order 32	number of articles 20	due date 44
0	Aisle 0	Location 6
1	Aisle 1	Location 2
2	Aisle 5	Location 1
3	Aisle 4	Location 18
4	Aisle 12	Location 41
5	Aisle 3	Location 35
6	Aisle 4	Location 43
7	Aisle 1	Location 12
8	Aisle 2	Location 4
9	Aisle 0	Location 19
10	Aisle 1	Location 6
11	Aisle 0	Location 26
12	Aisle 16	Location 30
13	Aisle 1	Location 22
14	Aisle 3	Location 39
15	Aisle 0	Location 1
16	Aisle 1	Location 17
17	Aisle 5	Location 43
18	Aisle 2	Location 8
19	Aisle 1	Location 9
Order 33	number of articles 8	due date 47
0	Aisle 1	Location 2
1	Aisle 1	Location 12
2	Aisle 12	Location 1
3	Aisle 0	Location 28
4	Aisle 2	Location 19
5	Aisle 0	Location 40
6	Aisle 0	Location 42
7	Aisle 5	Location 10
Order 34	number of articles 8	due date 28
0	Aisle 2	Location 7
1	Aisle 5	Location 43
2	Aisle 1	Location 7
3	Aisle 0	Location 27
4	Aisle 0	Location 26
5	Aisle 3	Location 42
6	Aisle 5	Location 32
7	Aisle 0	Location 6
Order 35	number of articles 18	due date 145
0	Aisle 5	Location 28
1	Aisle 3	Location 33
2	Aisle 1	Location 24
3	Aisle 0	Location 2
4	Aisle 1	Location 7
5	Aisle 4	Location 42
6	Aisle 1	Location 37
7	Aisle 2	Location 25
8	Aisle 2	Location 21
9	Aisle 1	Location 4
10	Aisle 2	Location 41
11	Aisle 2	Location 38
12	Aisle 0	Location 14
13	Aisle 5	Location 38
14	Aisle 15	Location 0
15	Aisle 0	Location 27
16	Aisle 1	Location 23
17	Aisle 3	Location 26
Order 36	number of articles 10	due date 161
0	Aisle 17	Location 1
1	Aisle 4	Location 28
2	Aisle 5	Location 33
3	Aisle 3	Location 1
4	Aisle 1	Location 44
5	Aisle 1	Location 0
6	Aisle 3	Location 7
7	Aisle 0	Location 40
8	Aisle 5	Location 25
9	Aisle 8	Location 43
Order 37	number of articles 5	due date 228
0	Aisle 0	Location 26
1	Aisle 2	Location 29
2	Aisle 0	Location 28
3	Aisle 1	Location 20
4	Aisle 3	Location 30
Order 38	number of articles 5	due date 24
0	Aisle 4	Location 2
1	Aisle 1	Location 8
2	Aisle 0	Location 35
3	Aisle 18	Location 3
4	Aisle 1	Location 23
Order 39	number of articles 23	due date 233
0	Aisle 2	Location 15
1	Aisle 1	Location 33
2	Aisle 1	Location 9
3	Aisle 17	Location 17
4	Aisle 1	Location 30
5	Aisle 11	Location 23
6	Aisle 4	Location 29
7	Aisle 0	Location 23
8	Aisle 0	Location 30
9	Aisle 2	Location 22
10	Aisle 1	Location 29
11	Aisle 0	Location 43
12	Aisle 1	Location 22
13	Aisle 0	Location 11
14	Aisle 2	Location 35
15	Aisle 4	Location 10
16	Aisle 0	Location 29
17	Aisle 5	Location 32
18	Aisle 5	Location 34
19	Aisle 5	Location 13
20	Aisle 1	Location 37
21	Aisle 2	Location 5
22	Aisle 4	Location 18
